# 地名(世界)。key	名前	場所	よみ	絵文字	解説	緯度	経度	地図の目印(説明に出てくる有名な場所。空なら その地名そのもの)
zambia	ザンビア	アフリカ	ざんびあ	🇿🇲	銅の産地として有名な内陸国。ジンバブエとの国境にビクトリアの滝がある。	-13.1	27.8	ビクトリアの滝
zimbabwe	ジンバブエ	アフリカ	じんばぶえ	🇿🇼	ビクトリアの滝と、石の遺跡グレート・ジンバブエがある国。	-19.0	29.2	グレート・ジンバブエ遺跡
mozambique	モザンビーク	アフリカ	もざんびーく	🇲🇿	インド洋に面した国。国旗に銃が描かれている珍しい国。	-18.7	35.5	マプト
namibia	ナミビア	アフリカ	なみびあ	🇳🇦	世界最古といわれるナミブ砂漠がある国。赤い砂丘とダイヤモンドで知られる。	-22.9	18.5	ナミブ砂漠 ソススフレイ
botswana	ボツワナ	アフリカ	ぼつわな	🇧🇼	カラハリ砂漠とオカバンゴ・デルタがある内陸国。ダイヤモンドで豊か。	-22.3	24.7	オカバンゴ・デルタ
mauritius	モーリシャス	アフリカ	もーりしゃす	🇲🇺	インド洋にうかぶ島の国。絶滅した鳥ドードーがすんでいた。リゾートで人気。	-20.3	57.6	ポートルイス
seychelles	セーシェル	アフリカ	せーしぇる	🇸🇨	インド洋の115の島からなる国。花こう岩の岩と白い砂浜が美しい。	-4.7	55.5	ラ・ディーグ島
guatemala	グアテマラ	中央アメリカ	ぐあてまら	🇬🇹	マヤ文明の遺跡ティカルがある国。コーヒーの産地で、火山が多い。	15.8	-90.2	ティカル遺跡
costarica	コスタリカ	中央アメリカ	こすたりか	🇨🇷	軍隊を持たない平和な国。国土の4分の1が自然保護区で、ナマケモノがくらす。	9.7	-83.8	アレナル火山
panamacountry	パナマ	中央アメリカ	ぱなま	🇵🇦	太平洋と大西洋をむすぶパナマ運河がある国。	8.5	-80.8	パナマ運河 ミラフローレス閘門
jamaica	ジャマイカ	カリブ海	じゃまいか	🇯🇲	レゲエ音楽と、短距離走の速い選手で知られるカリブ海の島国。ブルーマウンテンコーヒーの産地。	18.1	-77.3	キングストン
haiti	ハイチ	カリブ海	はいち	🇭🇹	世界で最初に黒人が独立させた国。フランス語が使われる。	19.0	-72.3	ポルトープランス
dominican	ドミニカ共和国	カリブ海	どみにかきょうわこく	🇩🇴	カリブ海の島イスパニョーラの東側の国。野球が強く、多くの大リーガーを生んだ。	18.7	-70.2	サントドミンゴ
venezuela	ベネズエラ	南アメリカ	べねずえら	🇻🇪	世界一落差の大きい滝エンジェルフォールがある国。石油の埋蔵量は世界一。	6.4	-66.6	エンジェルフォール
ecuador	エクアドル	南アメリカ	えくあどる	🇪🇨	赤道が通る国で、名前も「赤道」という意味。ガラパゴス諸島とバナナで知られる。	-1.8	-78.2	ガラパゴス諸島
bolivia	ボリビア	南アメリカ	ぼりびあ	🇧🇴	ウユニ塩湖とチチカカ湖がある高地の内陸国。首都ラパスは世界一高い首都。	-16.3	-63.6	ウユニ塩湖
paraguay	パラグアイ	南アメリカ	ぱらぐあい	🇵🇾	南アメリカの内陸国。大豆の輸出がさかんで、多くの日本人が移り住んだ。	-23.4	-58.4	アスンシオン
uruguay	ウルグアイ	南アメリカ	うるぐあい	🇺🇾	ブラジルとアルゼンチンにはさまれた小さな国。第1回サッカーワールドカップの優勝国。	-32.5	-55.8	モンテビデオ
png	パプアニューギニア	オセアニア	ぱぷあにゅーぎにあ	🇵🇬	ニューギニア島の東半分の国。800以上の言語が話され、極楽鳥がすむ。	-6.3	143.9	ポートモレスビー
samoa	サモア	オセアニア	さもあ	🇼🇸	南太平洋の島国。ラグビーが強く、伝統の入れ墨文化がある。	-13.8	-172.1	アピア
tonga	トンガ	オセアニア	とんが	🇹🇴	南太平洋で唯一 王様がいる国。日付変更線に近く、世界で早く朝が来る。	-21.2	-175.2	ヌクアロファ
palau	パラオ	オセアニア	ぱらお	🇵🇼	サンゴの海にうかぶ島国。日本と関係が深く、日本語の言葉が残っている。	7.5	134.6	ロックアイランド
solomon	ソロモン諸島	オセアニア	そろもんしょとう	🇸🇧	南太平洋の1000近い島からなる国。首都はホニアラ。	-9.6	160.2	ホニアラ
vanuatu	バヌアツ	オセアニア	ばぬあつ	🇻🇺	バンジージャンプのもとになった儀式がある島国。火山が多い。	-15.4	166.9	ポートビラ
kiribati	キリバス	オセアニア	きりばす	🇰🇮	赤道と日付変更線が交わる島国。世界でいちばん早く新年をむかえる。	1.9	-157.4	タラワ
tuvalu	ツバル	オセアニア	つばる	🇹🇻	9つのサンゴ礁の島の国。海面上昇でしずむ心配がある小さな国。	-8.5	179.2	フナフティ
washingtoncity	ワシントン	アメリカ	わしんとん	🏛	アメリカの首都。ホワイトハウスと国会議事堂があり、どの州にも属さない特別区。	38.9	-77.0	
boston	ボストン	アメリカ	ぼすとん	🎓	アメリカでいちばん古い町の一つ。ハーバード大学など有名な大学が集まる。	42.36	-71.06	
seattle	シアトル	アメリカ	しあとる	☕	アメリカ北西の港町。コーヒーチェーンやIT企業が生まれた。飛行機づくりもさかん。	47.6	-122.3	
houston	ヒューストン	アメリカ	ひゅーすとん	🚀	NASAの宇宙センターがある町。石油産業の中心地。	29.76	-95.37	
detroit	デトロイト	アメリカ	でとろいと	🚘	自動車産業の町として発展した。五大湖のそば。	42.33	-83.05	
neworleans	ニューオーリンズ	アメリカ	にゅーおーりんず	🎷	ジャズが生まれた町。ミシシッピ川の河口近くにあり、フランスの文化が残る。	29.95	-90.07	
miami	マイアミ	アメリカ	まいあみ	🏖	フロリダ半島の南のはし。1年中あたたかく、ビーチとラテン文化で知られる。	25.76	-80.19	
mexicocity	メキシコシティ	メキシコ	めきしこしてぃ	🌮	標高2200mの高地にあるメキシコの首都。アステカの都の上に作られた。	19.43	-99.13	
lima	リマ	ペルー	りま	🌶	ペルーの首都。太平洋に面し、世界的に有名な料理の町。	-12.05	-77.04	
santiagocl	サンティアゴ	チリ	さんてぃあご	🍷	チリの首都。アンデス山脈のふもとにあり、ワインの産地に近い。	-33.45	-70.67	
bogota	ボゴタ	コロンビア	ぼごた	🌄	標高2600mの高地にあるコロンビアの首都。	4.71	-74.07	
saopaulo	サンパウロ	ブラジル	さんぱうろ	🏙	南半球でいちばん人口が多い都市。日本から移り住んだ人の子孫が多い。	-23.55	-46.63	
brasilia	ブラジリア	ブラジル	ぶらじりあ	✈	1960年に内陸に新しく作られたブラジルの首都。飛行機の形をした町の設計で世界遺産。	-15.79	-47.88	
edinburghcity	エディンバラ	イギリス	えでぃんばら	🏰	スコットランドの首都。丘の上の城と、夏の芸術祭で知られる。	55.95	-3.19	
manchester	マンチェスター	イギリス	まんちぇすたー	🏭	産業革命のときに綿工業で栄えた町。サッカーの強いチームで有名。	53.48	-2.24	
dublin	ダブリン	アイルランド	だぶりん	🍀	アイルランドの首都。文学とパブの町で、黒ビールのギネスが生まれた。	53.35	-6.26	
brusselscity	ブリュッセル	ベルギー	ぶりゅっせる	🇪🇺	ベルギーの首都で、EUの本部がある「ヨーロッパの首都」。小便小僧の像が有名。	50.85	4.35	
geneva	ジュネーブ	スイス	じゅねーぶ	🕊	レマン湖のほとりの町。国連ヨーロッパ本部や赤十字など国際機関が集まる。	46.2	6.14	
zurich	チューリッヒ	スイス	ちゅーりっひ	🏦	スイス最大の都市。銀行が集まる金融の中心地。	47.37	8.54	
frankfurt	フランクフルト	ドイツ	ふらんくふると	💶	ヨーロッパ中央銀行がある金融の町。ソーセージ「フランクフルト」の由来。	50.11	8.68	
hamburg	ハンブルク	ドイツ	はんぶるく	⚓	ドイツ最大の港町。エルベ川の河口近くにあり、ハンバーグの名前のもとになった。	53.55	9.99	
oslo	オスロ	ノルウェー	おすろ	🏅	ノルウェーの首都。ノーベル平和賞の授賞式が行われる。	59.91	10.75	
copenhagen	コペンハーゲン	デンマーク	こぺんはーげん	🧜	デンマークの首都。人魚姫の像と、カラフルな港ニューハウン。自転車の町。	55.68	12.57	
warsawcity	ワルシャワ	ポーランド	わるしゃわ	🎹	ポーランドの首都。ショパンが育った町。戦争で壊れた旧市街を元どおりに再建した。	52.23	21.01	
budapestcity	ブダペスト	ハンガリー	ぶだぺすと	🌉	ドナウ川の両岸のブダとペストが合わさった首都。国会議事堂とくさり橋、温泉が有名。	47.5	19.04	
bucharest	ブカレスト	ルーマニア	ぶかれすと	🏛	ルーマニアの首都。「小さなパリ」とよばれ、世界最大級の国民の館がある。	44.43	26.1	
kyiv	キーウ	ウクライナ	きーう	⛪	ウクライナの首都。ドニプロ川のほとりにあり、金色のドームの教会が多い。	50.45	30.52	
stpetersburg	サンクトペテルブルク	ロシア	さんくとぺてるぶるく	🏛	ロシア第2の都市。かつての帝国の首都で、エルミタージュ美術館がある。夏は白夜。	59.93	30.32	
naples	ナポリ	イタリア	なぽり	🍕	ピザが生まれた港町。近くにベスビオ火山とポンペイの遺跡がある。	40.85	14.27	
florencecity	フィレンツェ	イタリア	ふぃれんつぇ	🎨	ルネサンスが花開いた芸術の都。ドゥオーモとウフィツィ美術館がある。	43.77	11.26	
sevillecity	セビリア	スペイン	せびりあ	💃	フラメンコの本場。スペイン南部アンダルシア地方の中心都市。	37.39	-5.99	
ankara	アンカラ	トルコ	あんから	🏛	トルコの首都。イスタンブールではなく、内陸の高原にある。	39.93	32.86	
tehran	テヘラン	イラン	てへらん	🏔	イランの首都。標高1200mの高地にあり、北に高い山がそびえる。	35.69	51.39	
baghdad	バグダッド	イラク	ばぐだっど	📜	イラクの首都。チグリス川のほとりにあり、「千夜一夜物語」の舞台。	33.31	44.37	
riyadh	リヤド	サウジアラビア	りやど	🏙	サウジアラビアの首都。砂漠のまん中に高層ビルが建つ。	24.71	46.68	
jerusalem	エルサレム	イスラエル	えるされむ	🕍	ユダヤ教・キリスト教・イスラム教の3つの宗教の聖地がある古い町。	31.77	35.22	
casablanca	カサブランカ	モロッコ	かさぶらんか	🎞	モロッコ最大の港町。白い建物が多く、同じ名前の映画で有名。	33.57	-7.59	
nairobi	ナイロビ	ケニア	ないろび	🦁	ケニアの首都。町のすぐそばに国立公園があり、野生動物が見られる。	-1.29	36.82	
johannesburg	ヨハネスブルク	南アフリカ	よはねすぶるく	💎	南アフリカ最大の都市。金鉱の発見で発展した。	-26.2	28.05	
lagos	ラゴス	ナイジェリア	らごす	🎬	アフリカでいちばん人口が多い都市。ナイジェリアの映画産業「ノリウッド」の中心。	6.52	3.38	
addisababa	アディスアベバ	エチオピア	あでぃすあべば	🌍	エチオピアの首都。標高2400mにあり、アフリカ連合の本部がある。	9.02	38.75	
newdelhi	ニューデリー	インド	にゅーでりー	🏛	インドの首都。イギリス時代に計画的に作られ、赤い城や大きな門がある。	28.61	77.21	
kolkata	コルカタ	インド	こるかた	🚋	インド東部の大都市。昔はカルカッタとよばれ、イギリス領インドの首都だった。	22.57	88.36	
dhaka	ダッカ	バングラデシュ	だっか	👕	バングラデシュの首都。世界有数の人口密度で、衣類の工場が多い。	23.81	90.41	
karachi	カラチ	パキスタン	からち	⚓	パキスタン最大の都市で港町。昔の首都。	24.86	67.0	
yangon	ヤンゴン	ミャンマー	やんごん	🛕	ミャンマー最大の都市。金色のシュエダゴン・パゴダがある。	16.87	96.2	
jakarta	ジャカルタ	インドネシア	じゃかるた	🏙	ジャワ島にあるインドネシアの首都。地盤沈下のため 首都を移す計画が進んでいる。	-6.2	106.85	
manila	マニラ	フィリピン	まにら	⛪	フィリピンの首都。スペイン時代の城壁の町イントラムロスが残る。	14.6	120.98	
hochiminh	ホーチミン	ベトナム	ほーちみん	🛵	ベトナム最大の都市。昔はサイゴンとよばれ、フランス風の建物が残る。	10.82	106.63	
busan	釜山	韓国	ぷさん	🐟	韓国第2の都市で最大の港町。日本の福岡に近く、海の市場と映画祭で知られる。	35.18	129.08	
guangzhou	広州	中国	こうしゅう	🥟	中国南部の大都市。広東料理と、昔からの貿易の町。	23.13	113.26	
chongqing	重慶	中国	じゅうけい	🌶	長江ぞいの山の都市。辛い火鍋と、人口3000万人以上の巨大都市。	29.56	106.55	
shenzhen	深圳	中国	しんせん	📱	香港のとなりにある IT企業の集まる町。40年で漁村から大都市になった。	22.54	114.06	
xian	西安	中国	せいあん	🗿	昔は長安とよばれたシルクロードの出発点。兵馬俑がある。	34.34	108.94	
pyongyang	平壌	北朝鮮	ぴょんやん	🏛	北朝鮮の首都。大同江のほとりにある。	39.02	125.75	
ulaanbaatar	ウランバートル	モンゴル	うらんばーとる	🐎	モンゴルの首都。世界でいちばん寒い首都といわれる。	47.92	106.92	
brisbane	ブリスベン	オーストラリア	ぶりすべん	🐨	オーストラリア東海岸の町。近くにゴールドコーストがあり、2032年オリンピックの開催地。	-27.47	153.03	
perth	パース	オーストラリア	ぱーす	🌅	オーストラリア西海岸の町。「世界でいちばん美しい町」といわれ、インド洋に沈む夕日。	-31.95	115.86	
canberra	キャンベラ	オーストラリア	きゃんべら	🏛	オーストラリアの首都。シドニーとメルボルンの間に計画的に作られた町。	-35.28	149.13	
auckland	オークランド	ニュージーランド	おーくらんど	⛵	ニュージーランド最大の都市。「帆の町」とよばれ、ヨットが多い。	-36.85	174.76	
wellington	ウェリントン	ニュージーランド	うぇりんとん	🎥	ニュージーランドの首都。風が強く、映画の撮影スタジオがある。	-41.29	174.78	
# ── 2026-09-24 追加(大学受験の地理: 山脈・高原・川・砂漠・湖・海・海峡・半島・島)	地図の目印(説明に出てくる有名な場所。空なら その地名そのもの)
himalaya	ヒマラヤ山脈	アジア	ひまらやさんみゃく	🏔	インドとチベットの間にそびえる世界最高の山脈。エベレストなど8000m級の山が14座ある。	28.0	86.0	
alps	アルプス山脈	ヨーロッパ	あるぷすさんみゃく	🏔	フランス・スイス・イタリア・オーストリアなどにまたがる山脈。最高峰はモンブラン(4808m)。	46.5	9.5	
rockies	ロッキー山脈	北アメリカ	ろっきーさんみゃく	🏔	北アメリカの西側を南北に走る新しい山脈(環太平洋造山帯)。カナダからメキシコまで4800km。	45.0	-110.0	
andes	アンデス山脈	南アメリカ	あんですさんみゃく	🏔	南アメリカの太平洋側を7000km走る世界一長い山脈。最高峰はアコンカグア(6961m)。	-20.0	-68.0	
ural	ウラル山脈	ロシア	うらるさんみゃく	⛰	ヨーロッパとアジアの境とされる古い山脈(古期造山帯)。なだらかで、鉄や石炭などの資源が豊富。	60.0	59.5	
atlas	アトラス山脈	アフリカ	あとらすさんみゃく	🏔	モロッコ・アルジェリア・チュニジアにまたがる山脈。北の地中海側と南のサハラ砂漠を分ける。	32.0	-5.0	
pyrenees	ピレネー山脈	ヨーロッパ	ぴれねーさんみゃく	🏔	フランスとスペインの国境の山脈。山の中に小さな国アンドラがある。	42.7	0.5	
caucasus	カフカス山脈	ヨーロッパ・アジア	かふかすさんみゃく	🏔	黒海とカスピ海の間の山脈。ヨーロッパ最高峰エルブルス山(5642m)がある。	43.0	43.0	
appalachian	アパラチア山脈	アメリカ	あぱらちあさんみゃく	⛰	アメリカ東部の古くなだらかな山脈(古期造山帯)。石炭の産地。	38.0	-81.0	
tianshan	テンシャン山脈	アジア	てんしゃんさんみゃく	🏔	中国西部から中央アジアへのびる山脈。漢字では「天山」。	42.0	80.0	
greatdividing	グレートディバイディング山脈	オーストラリア	ぐれーとでぃばいでぃんぐさんみゃく	⛰	オーストラリア東部を南北に走る古い山脈。東側に雨が多く、西側は乾いている。	-30.0	150.0	
everestpeak	エベレスト	ネパール・中国	えべれすと	🏔	標高8849mで世界最高峰。チベット語でチョモランマ。1953年に初めて登頂された。	27.99	86.93	
kilimanjaropeak	キリマンジャロ	タンザニア	きりまんじゃろ	🏔	標高5895mでアフリカの最高峰。赤道近くなのに山頂に氷河がある火山。	-3.07	37.35	
aconcagua	アコンカグア	アルゼンチン	あこんかぐあ	🏔	標高6961mで南アメリカ、そしてアジア以外で最高の山。アンデス山脈にある。	-32.65	-70.01	
tibet	チベット高原	中国	ちべっとこうげん	🏔	平均標高4000mを超える「世界の屋根」。黄河・長江・メコン川などの源流。	33.0	88.0	
deccan	デカン高原	インド	でかんこうげん	🌱	インド半島の大部分をしめる溶岩の高原。黒い土「レグール」で綿花の栽培がさかん。	18.0	77.0	
iranplateau	イラン高原	イラン	いらんこうげん	🏜	イランの大部分をしめる乾いた高原。カナートという地下水路で農業を行う。	32.0	55.0	
ethiopiahighland	エチオピア高原	エチオピア	えちおぴあこうげん	☕	アフリカ東部の高原。標高が高くすずしく、コーヒーの原産地。青ナイル川の源流。	10.0	39.0	
brazilhighland	ブラジル高原	ブラジル	ぶらじるこうげん	☕	ブラジル南東部の高原。コーヒー栽培と鉄鉱石の産地。	-17.0	-46.0	
siberia	シベリア	ロシア	しべりあ	🌲	ウラル山脈から東のロシアの広い地域。針葉樹林タイガと永久凍土が広がる。	62.0	100.0	
greatplains	グレートプレーンズ	アメリカ	ぐれーとぷれーんず	🌾	ロッキー山脈の東に広がる大平原。小麦の栽培と牛の放牧がさかん。	40.0	-100.0	
pampa	パンパ	アルゼンチン	ぱんぱ	🐄	アルゼンチン中部の大草原。小麦の栽培と牛の放牧。「ガウチョ」が牛を追った。	-35.0	-62.0	
amazonbasin	アマゾン盆地	ブラジル	あまぞんぼんち	🌴	アマゾン川の流域に広がる世界最大の熱帯雨林「セルバ」。	-3.0	-60.0	
nile	ナイル川	アフリカ	ないるがわ	🌊	長さ6650kmで世界一長い川。ビクトリア湖から北へ流れ、地中海に注ぐ。エジプト文明を育てた。	20.0	31.0	
amazonriver	アマゾン川	南アメリカ	あまぞんがわ	🌊	流域面積と水量が世界一の川。アンデス山脈から大西洋へ流れ、河口の幅は300km以上。	-2.0	-55.0	
yangtze	長江	中国	ちょうこう	🌊	長さ6300kmでアジア一長い川。上海の近くで東シナ海に注ぐ。「揚子江」ともいう。三峡ダムがある。	30.5	111.0	
huanghe	黄河	中国	こうが	🌊	中国北部を流れる 黄色い土をふくんだ川。中国文明が生まれた。	36.0	108.0	
mississippi	ミシシッピ川	アメリカ	みししっぴがわ	🌊	北アメリカ最長の川。中央平原を南へ流れ、ニューオーリンズでメキシコ湾に注ぐ。	35.0	-90.5	
ganges	ガンジス川	インド	がんじすがわ	🌊	ヒマラヤから流れ、ベンガル湾に注ぐヒンドゥー教の聖なる川。河口に広い三角州。	25.5	83.0	
indus	インダス川	パキスタン	いんだすがわ	🌊	パキスタンを流れる川。約4500年前にインダス文明が栄えた。	28.0	69.5	
mekong	メコン川	東南アジア	めこんがわ	🌊	チベットから中国・ラオス・タイ・カンボジア・ベトナムを流れ、南シナ海に注ぐ国際河川。	16.0	105.0	
danube	ドナウ川	ヨーロッパ	どなうがわ	🌊	ドイツから黒海まで10か国を流れる国際河川。ウィーン・ブダペストなどの首都を通る。	45.5	21.0	
rhine	ライン川	ヨーロッパ	らいんがわ	🌊	スイスのアルプスからドイツを北へ流れ、オランダで北海に注ぐ。ヨーロッパ一の水運の川。	50.5	7.5	
seine	セーヌ川	フランス	せーぬがわ	🌊	パリの中心を流れる川。川ぞいの町並みは世界遺産。	48.9	2.3	
thames	テムズ川	イギリス	てむずがわ	🌊	ロンドンを流れる川。ビッグ・ベンやタワーブリッジがかかる。	51.5	-0.1	
volga	ボルガ川	ロシア	ぼるががわ	🌊	ヨーロッパでいちばん長い川(3690km)。カスピ海に注ぐ。	50.0	46.0	
tigris	チグリス川	中東	ちぐりすがわ	🌊	トルコからイラクを流れる川。ユーフラテス川とともにメソポタミア文明を生んだ。	34.0	44.0	
euphrates	ユーフラテス川	中東	ゆーふらてすがわ	🌊	トルコ・シリア・イラクを流れる西アジア最長の川。チグリス川と合流してペルシャ湾へ。	34.5	41.0	
congoriver	コンゴ川	アフリカ	こんごがわ	🌊	アフリカで2番目に長く、水量はアフリカ一の川。赤道を2回横切る。	-2.0	20.0	
nigerriver	ニジェール川	アフリカ	にじぇーるがわ	🌊	西アフリカを大きく弧を描いて流れる川。ギニア湾に注ぐ。	14.0	-2.0	
zambezi	ザンベジ川	アフリカ	ざんべじがわ	🌊	アフリカ南部を流れ、インド洋に注ぐ。途中にビクトリアの滝がある。	-16.0	28.0	
murray	マレー川	オーストラリア	まれーがわ	🌊	オーストラリア最長の川。流域は小麦と羊の農業地帯。	-34.5	142.0	
laplata	ラプラタ川	南アメリカ	らぷらたがわ	🌊	アルゼンチンとウルグアイの間の河口。幅が200km以上あり、ブエノスアイレスがある。	-35.0	-57.0	
stlawrence	セントローレンス川	カナダ	せんとろーれんすがわ	🌊	五大湖から大西洋へ流れる川。大型船が通れるように整備され、モントリオールがある。	47.0	-70.0	
coloradoriver	コロラド川	アメリカ	ころらどがわ	🌊	ロッキー山脈からカリフォルニア湾へ。グランドキャニオンをけずった川。フーバーダムがある。	36.5	-112.0	
riogrande	リオグランデ川	アメリカ・メキシコ	りおぐらんでがわ	🌊	アメリカとメキシコの国境になっている川。メキシコ湾に注ぐ。	29.0	-102.0	
yenisei	エニセイ川	ロシア	えにせいがわ	🌊	中央シベリアを北へ流れ、北極海に注ぐ。バイカル湖の水も流れこむ。	62.0	88.0	
saharadesert	サハラ砂漠	アフリカ	さはらさばく	🏜	アフリカ北部に広がる世界最大の砂漠。日本の約25倍の広さ。南のふちをサヘルという。	23.0	13.0	
gobi	ゴビ砂漠	モンゴル・中国	ごびさばく	🏜	モンゴルから中国北部に広がる岩と砂の砂漠。恐竜の化石がたくさん見つかる。	43.0	105.0	
taklamakan	タクラマカン砂漠	中国	たくらまかんさばく	🏜	中国西部のタリム盆地にある砂漠。シルクロードはこの砂漠のふちを通った。	39.0	83.0	
kalahari	カラハリ砂漠	アフリカ	からはりさばく	🏜	ボツワナを中心に広がる砂漠。サン(ブッシュマン)の人々がくらしてきた。	-23.0	22.0	
namib	ナミブ砂漠	ナミビア	なみぶさばく	🏜	大西洋ぞいの世界最古の砂漠。海からの霧で生き物が生きる。赤い砂丘。	-24.5	15.5	
atacamadesert	アタカマ砂漠	チリ	あたかまさばく	🏜	世界でいちばん乾いた砂漠。寒流のため雨がふらず、銅の鉱山と天文台が多い。	-23.5	-69.0	
caspian	カスピ海	ヨーロッパ・アジア	かすぴかい	🌊	世界最大の湖。「海」とよばれるが塩湖。ロシア・イラン・カザフスタンなど5か国に囲まれ、石油が採れる。	42.0	51.0	
lakebaikal	バイカル湖	ロシア	ばいかるこ	🌊	深さ1642mで世界一深い湖。世界の淡水の約2割がここにある。	53.5	108.0	
victorialake	ビクトリア湖	アフリカ	びくとりあこ	🌊	アフリカ最大の湖で、白ナイル川の源。ケニア・ウガンダ・タンザニアに囲まれる。	-1.0	33.0	
superior	スペリオル湖	アメリカ・カナダ	すぺりおるこ	🌊	五大湖の中でいちばん大きく、淡水湖では世界一広い。	47.7	-87.5	
greatlakes	五大湖	アメリカ・カナダ	ごだいこ	🌊	スペリオル・ミシガン・ヒューロン・エリー・オンタリオの5つの湖。まわりに工業都市が発達した。	45.0	-84.0	
deadsealake	死海	中東	しかい	🧂	海面より約430m低い世界一低い場所にある塩湖。塩分が濃く、体が浮く。	31.5	35.5	
aral	アラル海	中央アジア	あらるかい	🏜	かつて世界4位の湖だったが、綿花栽培の水の取りすぎで干上がった。環境問題の例。	45.0	59.5	
mediterranean	地中海	ヨーロッパ・アフリカ	ちちゅうかい	🌊	ヨーロッパ・アフリカ・アジアに囲まれた海。夏に乾燥する地中海性気候で、オリーブやぶどうが育つ。	35.0	18.0	
blacksea	黒海	ヨーロッパ・アジア	こっかい	🌊	トルコ・ウクライナ・ロシアなどに囲まれた海。ボスポラス海峡で地中海につながる。	43.0	34.0	
redsea	紅海	中東・アフリカ	こうかい	🌊	アラビア半島とアフリカの間の細長い海。スエズ運河で地中海とつながる。サンゴ礁が美しい。	20.0	38.5	
caribbean	カリブ海	中央アメリカ	かりぶかい	🏝	中央アメリカと南アメリカの北にある海。キューバやジャマイカなどの島国、リゾートと海賊の歴史。	15.0	-73.0	
northsea	北海	ヨーロッパ	ほっかい	🛢	イギリスとノルウェーなどの間の海。海底油田・ガス田があり、漁業もさかん。	56.0	3.0	
baltic	バルト海	ヨーロッパ	ばるとかい	🌊	スカンディナビア半島とヨーロッパ大陸の間の浅い海。塩分が薄く、冬は一部が凍る。	58.0	20.0	
southchinasea	南シナ海	アジア	みなみしなかい	🌊	中国・ベトナム・フィリピンなどに囲まれた海。石油や漁場をめぐり各国が争う。	12.0	114.0	
bering	ベーリング海峡	ロシア・アメリカ	べーりんぐかいきょう	🧊	ユーラシア大陸と北アメリカ大陸の間の海峡。幅は約85km。氷河期には陸続きだった。	65.8	-169.0	
malacca	マラッカ海峡	マレーシア・インドネシア	まらっかかいきょう	🚢	マレー半島とスマトラ島の間の海峡。インド洋と太平洋をむすぶ海の交通の要所。	2.5	101.5	
gibraltar	ジブラルタル海峡	スペイン・モロッコ	じぶらるたるかいきょう	🚢	地中海と大西洋をむすぶ幅14kmの海峡。ヨーロッパとアフリカの境。	35.95	-5.6	
dover	ドーバー海峡	イギリス・フランス	どーばーかいきょう	🚇	イギリスとフランスの間の海峡。幅34kmで、海底をユーロトンネルが通る。	51.0	1.5	
bosporus	ボスポラス海峡	トルコ	ぼすぽらすかいきょう	🌉	黒海と地中海をむすぶ海峡。イスタンブールの町の中を通り、ヨーロッパとアジアを分ける。	41.1	29.05	
hormuz	ホルムズ海峡	中東	ほるむずかいきょう	🛢	ペルシャ湾の出口。世界の石油タンカーの多くが通る重要な海峡。	26.6	56.4	
suez	スエズ運河	エジプト	すえずうんが	🚢	地中海と紅海をむすぶ運河。1869年に開通し、ヨーロッパとアジアの船の道が大幅に短くなった。	30.5	32.3	
panamacanal	パナマ運河	パナマ	ぱなまうんが	🚢	太平洋と大西洋をむすぶ運河。1914年に開通。船を水で持ち上げる閘門式。	9.1	-79.7	
gulfofmexico	メキシコ湾	北アメリカ	めきしこわん	🌊	アメリカ南部とメキシコに囲まれた湾。海底油田が多く、暖流メキシコ湾流が流れ出す。	25.0	-90.0	
persiangulf	ペルシャ湾	中東	ぺるしゃわん	🛢	アラビア半島とイランの間の湾。まわりは世界最大の石油の産地。	26.5	52.0	
bengal	ベンガル湾	南アジア	べんがるわん	🌊	インドの東側の湾。ガンジス川が注ぎ、サイクロンがよく発生する。	15.0	88.0	
pacific	太平洋	世界	たいへいよう	🌊	世界最大の海。地球の表面の3分の1をしめる。まわりに火山と地震の多い環太平洋造山帯。	0.0	-160.0	
atlantic	大西洋	世界	たいせいよう	🌊	世界で2番目に大きな海。ヨーロッパ・アフリカと南北アメリカの間。	20.0	-35.0	
indianocean	インド洋	世界	いんどよう	🌊	世界で3番目に大きな海。季節風モンスーンが吹き、古くから貿易の海。	-20.0	80.0	
arctic	北極海	世界	ほっきょくかい	🧊	北極を中心とする海。氷におおわれているが、温暖化で氷が減っている。	82.0	0.0	
antarctica	南極大陸	世界	なんきょくたいりく	🐧	地球でいちばん寒い大陸。厚い氷におおわれ、どの国のものでもない。日本の昭和基地がある。	-58.0	20.0	
scandinavia	スカンディナビア半島	ヨーロッパ	すかんでぃなびあはんとう	🏔	ノルウェーとスウェーデンがある大きな半島。西側はフィヨルドの海岸。	64.0	14.0	
iberia	イベリア半島	ヨーロッパ	いべりあはんとう	🌞	スペインとポルトガルがある半島。ジブラルタル海峡でアフリカと向かい合う。	40.0	-4.0	
balkan	バルカン半島	ヨーロッパ	ばるかんはんとう	⛰	ヨーロッパ南東部の半島。多くの民族が住み「ヨーロッパの火薬庫」とよばれた。	42.0	22.0	
arabia	アラビア半島	中東	あらびあはんとう	🏜	世界最大の半島。大部分が砂漠で、サウジアラビアなど7か国がある。	23.0	46.0	
indochina	インドシナ半島	東南アジア	いんどしなはんとう	🌴	ベトナム・ラオス・カンボジア・タイ・ミャンマーがある半島。メコン川が流れる。	16.0	103.0	
