# 宇宙。key	名前	分類	よみ	絵文字	解説	地図(sky|solar)	x	y	Wikipedia題名	はじめのレベル(1か空)
cosmohri	毛利衛	宇宙飛行士(日本)	もうりまもる	👨‍🚀	1992年にスペースシャトルに乗って宇宙へ行った、日本人ではじめての科学者宇宙飛行士。日本科学未来館の初代館長もつとめた。	solar	0.22	0.65	毛利衛	
coswakata	若田光一	宇宙飛行士(日本)	わかたこういち	👨‍🚀	5回も宇宙へ行った日本人宇宙飛行士。2014年には日本人ではじめて国際宇宙ステーションの船長をつとめた。	solar	0.24	0.75	若田光一	
skyaries	おひつじ座	星座(秋・黄道12星座)	おひつじざ	♈	黄道12星座の1番目。秋の夜に見える小さな星座で、金色の毛皮の羊の姿。3つの星がくの字にならぶ。3月21日〜4月19日生まれの星座。	sky	2.7	20	おひつじ座	1
skytaurus	おうし座	星座(冬・黄道12星座)	おうしざ	♉	冬の星座で、赤い1等星アルデバランが牛の目。すばる(プレアデス星団)とヒアデス星団がある。4月20日〜5月20日生まれの星座。	sky	4.5	18	おうし座	1
skygemini	ふたご座	星座(冬・黄道12星座)	ふたござ	♊	冬の星座で、カストルとポルックスの2つの明るい星が双子の頭。12月のふたご座流星群が有名。5月21日〜6月21日生まれの星座。	sky	7.0	23	ふたご座	1
skycancer	かに座	星座(春・黄道12星座)	かにざ	♋	春の星座。暗い星ばかりだが、まん中にプレセペ星団というぼんやり光る星のかたまりがある。6月22日〜7月22日生まれの星座。	sky	8.6	20	かに座	1
skyleo	しし座	星座(春・黄道12星座)	ししざ	♌	春の代表的な星座。1等星レグルスと、ししの頭を作る?マークを裏返した形のししの大がまが目じるし。7月23日〜8月22日生まれの星座。	sky	10.6	15	しし座	1
skyvirgo	おとめ座	星座(春・黄道12星座)	おとめざ	♍	春の星座で、全天で2番目に大きい。1等星スピカが目じるし。たくさんの銀河が集まるおとめ座銀河団がある。8月23日〜9月22日生まれの星座。	sky	13.3	-3	おとめ座	1
skylibra	てんびん座	星座(春・黄道12星座)	てんびんざ	♎	黄道12星座で唯一 生き物でない星座。おとめ座とさそり座のあいだにある。昔はさそりのはさみだった。9月23日〜10月23日生まれの星座。	sky	15.2	-15	てんびん座	1
skyscorpius	さそり座	星座(夏・黄道12星座)	さそりざ	♏	夏の南の空に低く見える、S字にならぶ星座。赤い1等星アンタレスがさそりの心臓。オリオンをさしたさそり。10月24日〜11月22日生まれの星座。	sky	16.9	-30	さそり座	1
skysagittarius	いて座	星座(夏・黄道12星座)	いてざ	♐	夏の南の空、さそり座の東にある星座。天の川がいちばん濃く、銀河系の中心がこの方向にある。11月23日〜12月21日生まれの星座。	sky	19.1	-28	いて座	1
skycapricornus	やぎ座	星座(秋・黄道12星座)	やぎざ	♑	秋の星座で、上半身がヤギ、下半身が魚の姿。逆三角形にならぶ暗い星の集まり。12月22日〜1月19日生まれの星座。	sky	21.0	-18	やぎ座	1
skyaquarius	みずがめ座	星座(秋・黄道12星座)	みずがめざ	♒	秋の星座で、水がめから水を流す若者の姿。明るい星は少ないが広い。らせん星雲がある。1月20日〜2月18日生まれの星座。	sky	22.3	-10	みずがめ座	1
skypisces	うお座	星座(秋・黄道12星座)	うおざ	♓	秋の星座で、ひもでつながれた2匹の魚の姿。ペガススの四辺形の南と東にVの字にならぶ。春分点がここにある。2月19日〜3月20日生まれの星座。	sky	0.8	12	うお座	1
skyorion	オリオン座	星座(冬)	おりおんざ	⭐	冬の代表的な星座。ベテルギウスとリゲルの2つの1等星と、まん中にならぶ三つ星が目じるし。狩人オリオンの姿で、三つ星の下に大星雲がある。	sky	5.6	5	オリオン座	1
skycma	おおいぬ座	星座(冬)	おおいぬざ	🐕	冬の星座で、全天でいちばん明るい恒星シリウスがある。オリオンがつれた猟犬の姿。シリウスは冬の大三角のひとつ。	sky	6.8	-22	おおいぬ座	1
skycmi	こいぬ座	星座(冬)	こいぬざ	🐶	冬の星座で、1等星プロキオンがある小さな星座。星は2つしかはっきり見えない。プロキオンは冬の大三角のひとつ。	sky	7.6	6	こいぬ座	1
skyauriga	ぎょしゃ座	星座(冬)	ぎょしゃざ	🐐	冬の星座で、黄色い1等星カペラが目じるし。五角形にならぶ星のうち1つはおうし座の星。馬車を走らせる人の姿。	sky	5.9	42	ぎょしゃ座	
skyuma	おおぐま座	星座(春)	おおぐまざ	🐻	北の空に見える大きな星座。しっぽから背中の7つの星が北斗七星。ひしゃくの先の2つの星をのばすと北極星が見つかる。	sky	11.3	52	おおぐま座	1
skyumi	こぐま座	星座(春)	こぐまざ	🐻	北極星をしっぽの先にもつ小さな星座。小さなひしゃくの形なので小北斗ともよばれる。北の空で1年中見える。	sky	15.0	78	こぐま座	1
skycassiopeia	カシオペヤ座	星座(秋)	かしおぺやざ	👑	北の空にW字にならぶ5つの星の星座。北斗七星の反対側にあり、ここからも北極星をさがせる。エチオピアの王妃カシオペヤの姿。	sky	1.0	62	カシオペヤ座	1
skycepheus	ケフェウス座	星座(秋)	けふぇうすざ	👑	カシオペヤ座のとなりにある、五角形の家のような形の星座。エチオピアの王。明るさが規則正しく変わる変光星デルタ星が有名。	sky	22.0	71	ケフェウス座	
skydraco	りゅう座	星座(春)	りゅうざ	🐉	北の空で、おおぐま座とこぐま座のあいだをうねる長い星座。約5000年前はりゅう座のトゥバンが北極星だった。	sky	17.0	65	りゅう座	
skylyra	こと座	星座(夏)	ことざ	🎵	夏の星座で、青白い1等星ベガ(織姫星)がある。小さな平行四辺形の形。ベガは夏の大三角のひとつで、環状星雲もある。	sky	18.8	37	こと座	1
skycygnus	はくちょう座	星座(夏)	はくちょうざ	🦢	夏の天の川の中を飛ぶ白鳥の姿。十字の形で北十字ともいう。しっぽの1等星デネブは夏の大三角のひとつ。くちばしには二重星アルビレオ。	sky	20.6	45	はくちょう座	1
skyaquila	わし座	星座(夏)	わしざ	🦅	夏の星座で、1等星アルタイル(彦星)がある。アルタイルは両わきに星をしたがえて天の川の岸に光る。夏の大三角のひとつ。	sky	19.7	4	わし座	1
skypegasus	ペガスス座	星座(秋)	ぺがすすざ	🐴	秋の星座で、4つの星が大きな四角形を作る秋の四辺形が目じるし。翼のある馬の姿。四辺形の1つの星はアンドロメダ座の星。	sky	22.7	20	ペガスス座	
skyandromeda	アンドロメダ座	星座(秋)	あんどろめだざ	👸	秋の星座で、鎖につながれた王女の姿。ペガススの四辺形から東へのびる。アンドロメダ銀河が肉眼でも ぼんやり見える。	sky	0.8	38	アンドロメダ座	
skyperseus	ペルセウス座	星座(秋)	ぺるせうすざ	🗡️	秋から冬の星座で、怪物メドゥーサの首を持つ勇者の姿。明るさが変わる変光星アルゴルがある。8月のペルセウス座流星群で有名。	sky	3.2	45	ペルセウス座	
skylepus	うさぎ座	星座(冬)	うさぎざ	🐇	オリオン座の足もとにある小さな星座。狩人オリオンにねらわれたウサギの姿。冬の南の空、シリウスの西にある。	sky	5.5	-19	うさぎ座	
skyeridanus	エリダヌス座	星座(冬)	えりだぬすざ	🌊	オリオン座のリゲルの近くから南へ長く流れる川の星座。全天で6番目に大きい。南のはしには1等星アケルナルがある。	sky	3.5	-28	エリダヌス座	
skycetus	くじら座	星座(秋)	くじらざ	🐋	秋の南の空に広がる大きな星座。アンドロメダをおそった海の怪物の姿。約11か月の周期で明るさが大きく変わる変光星ミラがある。	sky	1.7	-8	くじら座	
skybootes	うしかい座	星座(春)	うしかいざ	🌾	春の星座で、オレンジ色の1等星アークトゥルス(麦星)がある。ネクタイのような形。北斗七星の柄をのばすと見つかる。	sky	14.7	31	うしかい座	
skycrb	かんむり座	星座(春)	かんむりざ	👑	うしかい座の東にある、7つの星が半円にならぶ小さな星座。ティアラのような形で見つけやすい。ギリシャ神話の王女の冠。	sky	15.8	33	かんむり座	
skyhercules	ヘルクレス座	星座(夏)	へるくれすざ	💪	夏の星座で、全天で5番目に大きい。明るい星はないが、球状星団M13がある。ギリシャ神話の英雄ヘラクレスの姿。	sky	17.4	27	ヘルクレス座	
skyophiuchus	へびつかい座	星座(夏)	へびつかいざ	🐍	夏の星座で、大きなヘビをつかむ医者の姿。太陽の通り道の黄道にかかっているが、黄道12星座には入っていない。	sky	17.2	-7	へびつかい座	
skyserpens	へび座	星座(夏)	へびざ	🐍	へびつかい座につかまれたヘビの星座。頭と尾の2つの部分に分かれた、全天でただひとつの星座。尾のほうにわし星雲がある。	sky	15.8	8	へび座	
skydelphinus	いるか座	星座(夏)	いるかざ	🐬	夏の天の川のそばにある小さな星座。4つの星がひし形にならび、イルカがジャンプしているように見える。	sky	20.7	12	いるか座	
skyvulpecula	こぎつね座	星座(夏)	こぎつねざ	🦊	はくちょう座の南にある暗い星座。明るい星はないが、鉄アレイの形のあれい状星雲がある。	sky	20.2	24	こぎつね座	
skysagitta	や座	星座(夏)	やざ	🏹	わし座の北にある、全天で3番目に小さい星座。4つの星が矢の形にならぶ。夏の大三角の中にある。	sky	19.7	18	や座	
skypsa	みなみのうお座	星座(秋)	みなみのうおざ	🐟	秋の南の空に低く見える星座。1等星フォーマルハウトは秋の空でただひとつの1等星で、秋のひとつ星とよばれる。	sky	22.3	-31	みなみのうお座	
skycra	みなみのかんむり座	星座(夏)	みなみのかんむりざ	👑	いて座の南にある、星が半円にならぶ小さな星座。日本からは南の低い空に見える。北のかんむり座と対になる。	sky	18.6	-41	みなみのかんむり座	
skycentaurus	ケンタウルス座	星座(春)	けんたうるすざ	🏹	南の空の大きな星座。太陽にいちばん近い恒星アルファ・ケンタウリと、1等星ハダルがある。日本では南の一部しか見えない。	sky	13.1	-47	ケンタウルス座	
skylupus	おおかみ座	星座(春)	おおかみざ	🐺	ケンタウルス座とさそり座のあいだにある星座。ケンタウルスがつかまえたオオカミの姿。日本の南の空に低く見える。	sky	15.2	-43	おおかみ座	
skycorvus	からす座	星座(春)	からすざ	🐦‍⬛	春の南の空、おとめ座のスピカの西にある小さな星座。4つの星が台形にならぶ。太陽神アポロンの使いのカラス。	sky	12.4	-18	からす座	
skycrater	コップ座	星座(春)	こっぷざ	🏆	からす座の西にある暗い星座。うみへび座の背中に乗ったコップの姿。アポロンの神話でカラスといっしょに出てくる。	sky	11.4	-15	コップ座	
skyhydra	うみへび座	星座(春)	うみへびざ	🐍	全天でいちばん大きな星座。春の南の空を頭から尾まで100度以上も長くのびる。心臓の星アルファルドがひとつだけ明るい。	sky	10.5	-14	うみへび座	
skycoma	かみのけ座	星座(春)	かみのけざ	💇	しし座とうしかい座のあいだにある、暗い星がぼんやり集まった星座。エジプトの王妃の髪の毛。銀河がたくさん見つかる。	sky	12.8	23	かみのけ座	
skycvn	りょうけん座	星座(春)	りょうけんざ	🐕	北斗七星の柄の下にある小さな星座。うしかいがつれた2匹の猟犬。子持ち銀河M51がある。	sky	13.0	40	りょうけん座	
skylynx	やまねこ座	星座(冬)	やまねこざ	🐱	ぎょしゃ座とおおぐま座のあいだの暗い星座。ヤマネコのように目のいい人でないと見えないという意味で名づけられた。	sky	7.9	47	やまねこ座	
skycamelopardalis	きりん座	星座(冬)	きりんざ	🦒	北極星の近くにある大きいが暗い星座。ぎょしゃ座とこぐま座のあいだに広がる。17世紀に作られた新しい星座。	sky	6.0	70	きりん座	
skylacerta	とかげ座	星座(秋)	とかげざ	🦎	はくちょう座とアンドロメダ座のあいだにある小さな暗い星座。ジグザグに星がならぶ。17世紀に作られた。	sky	22.5	46	とかげ座	
skytriangulum	さんかく座	星座(秋)	さんかくざ	🔺	アンドロメダ座の南にある、3つの星が細長い三角形を作る小さな星座。さんかく座銀河M33がある。	sky	2.2	31	さんかく座	
skyfornax	ろ座	星座(秋)	ろざ	🔥	エリダヌス座の曲がりの内側にある暗い星座。化学の実験に使う炉の姿。ろ座銀河団など多くの銀河が見つかる。	sky	2.8	-32	ろ座	
skysculptor	ちょうこくしつ座	星座(秋)	ちょうこくしつざ	🗿	秋の南の空に低く見える暗い星座。彫刻家のアトリエの姿。銀河系の南極の方向がここにある。	sky	0.4	-33	ちょうこくしつ座	
skyphoenix	ほうおう座	星座(秋)	ほうおうざ	🐦‍🔥	秋の南の空に低く見える星座。炎の中からよみがえる伝説の鳥フェニックス。日本からは南のはしが見えにくい。	sky	0.9	-48	ほうおう座	
skygrus	つる座	星座(秋)	つるざ	🦩	みなみのうお座の南にある星座。首の長いツルの姿。日本の南の地方では秋の低い空に見える。	sky	22.4	-47	つる座	
skycolumba	はと座	星座(冬)	はとざ	🕊️	おおいぬ座の南西にある小さな星座。ノアの箱舟から放たれた鳩の姿。冬の南の空に低く見える。	sky	5.8	-35	はと座	
skypuppis	とも座	星座(冬)	ともざ	⛵	冬の南の空、おおいぬ座の東にある星座。昔のアルゴ座という大きな星座を4つに分けたひとつで、船の後ろの部分。	sky	7.3	-32	とも座	
skypyxis	らしんばん座	星座(春)	らしんばんざ	🧭	とも座の東にある小さな星座。船の方角を知る羅針盤の姿で、昔のアルゴ座を分けたときに船の部品として作られた。	sky	8.9	-28	らしんばん座	
skyantlia	ポンプ座	星座(春)	ぽんぷざ	🔧	うみへび座の南にある暗い星座。空気ポンプの姿で、18世紀に作られた。明るい星がなく見つけにくい。	sky	10.3	-32	ポンプ座	
skysextans	ろくぶんぎ座	星座(春)	ろくぶんぎざ	📐	しし座のレグルスの南にある暗い星座。星の位置をはかる六分儀という道具の姿。17世紀に作られた。	sky	10.3	-2	ろくぶんぎ座	
skylmi	こじし座	星座(春)	こじしざ	🦁	しし座とおおぐま座のあいだにある小さな暗い星座。子ライオンの姿。17世紀に作られた。	sky	10.3	32	こじし座	
skyequuleus	こうま座	星座(秋)	こうまざ	🐴	ペガスス座のとなりにある、全天で2番目に小さい星座。子馬の頭の部分だけの姿で、4つの暗い星でできている。	sky	21.2	8	こうま座	
skyscutum	たて座	星座(夏)	たてざ	🛡️	わし座の南、天の川の中にある小さな星座。ポーランド王のたてをかたどった。天の川が明るく、星団が多い。	sky	18.7	-10	たて座	
skycrux	みなみじゅうじ座	星座(南天)	みなみじゅうじざ	✝️	全天でいちばん小さい星座。4つの星が十字にならび南十字星とよばれる。日本では沖縄など南の地方でだけ見える。南をさがす目じるし。	sky	12.4	-60	みなみじゅうじ座	
skysirius	シリウス	恒星(おおいぬ座)	しりうす	⭐	夜空でいちばん明るい恒星。青白く光り、地球から8.6光年と近い。冬の大三角のひとつで、白色矮星の伴星をもつ。	sky	6.75	-16.7	シリウス	1
skycanopus	カノープス	恒星(りゅうこつ座)	かのーぷす	⭐	全天で2番目に明るい恒星。日本では冬の南の地平線すれすれにしか見えず、見ると長生きできるといわれる南極老人星。	sky	6.40	-52.7	カノープス	
skyrigilkent	アルファ・ケンタウリ	恒星(ケンタウルス座)	あるふぁけんたうり	⭐	太陽系にいちばん近い恒星系。約4.3光年。3つの星からなり、全天で3番目に明るい。リギル・ケンタウルスともいう。	sky	14.66	-60.8	ケンタウルス座アルファ星	
skyarcturus	アークトゥルス	恒星(うしかい座)	あーくとぅるす	⭐	春の空でいちばん明るいオレンジ色の1等星。麦の刈り入れのころに見えるので日本では麦星とよばれる。春の大三角のひとつ。	sky	14.26	19.2	アークトゥルス	
skyvega	ベガ	恒星(こと座)	べが	⭐	こと座の青白い1等星で、七夕の織姫星。夏の大三角のひとつで、夏の夜空でいちばん明るい。約1万2000年後には北極星になる。	sky	18.62	38.8	ベガ	1
skycapella	カペラ	恒星(ぎょしゃ座)	かぺら	⭐	ぎょしゃ座の黄色い1等星。冬の空でいちばん北に見える1等星で、冬のダイヤモンドのひとつ。名前は子ヤギの意味。	sky	5.28	46.0	カペラ (恒星)	
skyrigel	リゲル	恒星(オリオン座)	りげる	⭐	オリオン座の右下の青白い1等星。表面温度は約1万2000度と高く、太陽の何万倍も明るい超巨星。日本では源氏星ともよばれる。	sky	5.24	-8.2	リゲル	
skyprocyon	プロキオン	恒星(こいぬ座)	ぷろきおん	⭐	こいぬ座の1等星。地球から11.5光年と近い。名前はシリウスより先にのぼる星という意味。冬の大三角のひとつ。	sky	7.66	5.2	プロキオン	1
skyachernar	アケルナル	恒星(エリダヌス座)	あけるなる	⭐	エリダヌス座の川の終わりにある青白い1等星。高速で自転しているため、ひらたい形をしている。日本では沖縄でしか見えない。	sky	1.63	-57.2	アケルナル	
skybetelgeuse	ベテルギウス	恒星(オリオン座)	べてるぎうす	🔴	オリオン座の左上の赤い1等星。太陽の約900倍もある赤色超巨星で、やがて超新星爆発を起こすと考えられている。日本では平家星。	sky	5.92	7.4	ベテルギウス	1
skyhadar	ハダル	恒星(ケンタウルス座)	はだる	⭐	ケンタウルス座の青白い1等星。全天で11番目に明るい。アルファ・ケンタウリとならんで南十字星をさがす目じるしになる。	sky	14.06	-60.4	ハダル	
skyaltair	アルタイル	恒星(わし座)	あるたいる	⭐	わし座の1等星で、七夕の彦星。地球から17光年と近い。夏の大三角のひとつで、天の川をはさんでベガと向かいあう。	sky	19.85	8.9	アルタイル	1
skyacrux	アクルックス	恒星(みなみじゅうじ座)	あくるっくす	⭐	南十字星の足もとにある青白い1等星。全天で13番目に明るい。日本の本土からは見えず、沖縄の南の地平線ちかくに見える。	sky	12.44	-63.1	アクルックス	
skyaldebaran	アルデバラン	恒星(おうし座)	あるでばらん	🔴	おうし座の赤い1等星で、牛の目にあたる。すばるのあとからのぼるので、あとに続くものという意味の名前。冬のダイヤモンドのひとつ。	sky	4.60	16.5	アルデバラン	
skyantares	アンタレス	恒星(さそり座)	あんたれす	🔴	さそり座の心臓で赤く光る1等星。太陽の約700倍の赤色超巨星。火星に負けないほど赤いので、火星に対抗するものという名前。	sky	16.49	-26.4	アンタレス	1
skyspica	スピカ	恒星(おとめ座)	すぴか	⭐	おとめ座の青白い1等星。麦の穂という意味で、日本では真珠星ともよばれる。春の大三角のひとつ。	sky	13.42	-11.2	スピカ	
skypollux	ポルックス	恒星(ふたご座)	ぽるっくす	⭐	ふたご座の弟の頭にあたるオレンジ色の1等星。兄のカストルより明るい。惑星をもつことが分かっている。冬のダイヤモンドのひとつ。	sky	7.76	28.0	ポルックス (恒星)	
skyfomalhaut	フォーマルハウト	恒星(みなみのうお座)	ふぉーまるはうと	⭐	みなみのうお座の1等星。秋の夜空でただひとつの1等星なので秋のひとつ星とよばれる。まわりにちりの円盤がある。	sky	22.96	-29.6	フォーマルハウト	
skydeneb	デネブ	恒星(はくちょう座)	でねぶ	⭐	はくちょう座のしっぽの白い1等星。夏の大三角のひとつ。約1400光年とはるかに遠いのに明るく見える、とても明るい超巨星。	sky	20.69	45.3	デネブ	1
skymimosa	ミモザ	恒星(みなみじゅうじ座)	みもざ	⭐	南十字星の左の横棒にある青白い1等星。全天で20番目に明るい。ベータ・クルーシスともいう。	sky	12.80	-59.7	ミモザ (恒星)	
skyregulus	レグルス	恒星(しし座)	れぐるす	⭐	しし座の心臓にあたる青白い1等星。小さな王という意味。黄道のすぐそばにあるので、月や惑星がよく近くを通る。	sky	10.14	12.0	レグルス	
skypolaris	北極星	恒星(こぐま座)	ほっきょくせい	🌟	こぐま座のしっぽの先にある2等星ポラリス。ほぼ真北にあって1日中ほとんど動かないので、昔から方角の目じるし。北斗七星から見つける。	sky	2.53	89.3	ポラリス (恒星)	1
skycastor	カストル	恒星(ふたご座)	かすとる	⭐	ふたご座の兄の頭にあたる白い2等星。望遠鏡で見ると2つに分かれ、じつは6つの星が集まった星。ポルックスとならぶ。	sky	7.58	31.9	カストル (恒星)	
skyalgol	アルゴル	恒星(ペルセウス座)	あるごる	👁️	ペルセウス座にある、約2.9日ごとに明るさが変わる有名な変光星。2つの星がおたがいをかくしあうため。悪魔の星という意味の名前。	sky	3.14	41.0	アルゴル	
skymira	ミラ	恒星(くじら座)	みら	🔴	くじら座の赤い変光星。約11か月の周期で、肉眼で見えるほど明るくなったり見えなくなったりする。ふしぎな星という意味。	sky	2.32	-3.0	ミラ (恒星)	
skydenebola	デネボラ	恒星(しし座)	でねぼら	⭐	しし座のしっぽにある白い2等星。春の大三角のひとつで、アークトゥルス、スピカとともに大きな三角形を作る。	sky	11.82	14.6	デネボラ	
skyalbireo	アルビレオ	恒星(はくちょう座)	あるびれお	💛	はくちょう座のくちばしにある二重星。望遠鏡で見ると金色と青色の星がならび、夜空でいちばん美しい二重星といわれる。	sky	19.51	28.0	アルビレオ	
skymizar	ミザール	恒星(おおぐま座)	みざーる	⭐	北斗七星の柄の先から2番目の星。すぐそばに4等星アルコルがよりそい、昔はこの2つが見分けられるかで視力を調べた。	sky	13.40	54.9	ミザール	
skyalcor	アルコル	恒星(おおぐま座)	あるこる	⭐	北斗七星のミザールにぴったりよりそう4等星。ミザールと合わせて視力検査の星とよばれた。死兆星の名前でも知られる。	sky	13.42	55.0	アルコル	
skyalpheratz	アルフェラッツ	恒星(アンドロメダ座)	あるふぇらっつ	⭐	アンドロメダ座の頭の2等星で、秋の四辺形の北東の角の星でもある。ペガススの背中とアンドロメダの頭を兼ねている。	sky	0.14	29.1	アルフェラッツ	
skybellatrix	ベラトリックス	恒星(オリオン座)	べらとりっくす	⭐	オリオン座の右上にある青白い2等星。女戦士という意味の名前。ベテルギウスと向かいあってオリオンの両肩を作る。	sky	5.42	6.3	ベラトリックス	
skysaiph	サイフ	恒星(オリオン座)	さいふ	⭐	オリオン座の左下にある青白い2等星。リゲルと向かいあって狩人の両足を作る。名前は巨人の剣という意味。	sky	5.80	-9.7	サイフ (恒星)	
skyalnilam	アルニラム	恒星(オリオン座)	あるにらむ	⭐	オリオン座の三つ星のまん中の青白い星。真珠の糸という意味。三つ星は東の空からほぼ縦に、南の空で横一列にならぶ。	sky	5.60	-1.2	アルニラム	
skymintaka	ミンタカ	恒星(オリオン座)	みんたか	⭐	オリオン座の三つ星の右はしの星。ほぼ天の赤道の上にあるので、真東からのぼって真西にしずむ。方角を知る目じるしになる。	sky	5.53	-0.3	ミンタカ	
skyalnitak	アルニタク	恒星(オリオン座)	あるにたく	⭐	オリオン座の三つ星の左はしの青白い星。すぐ南に馬の頭の形をした暗黒星雲の馬頭星雲がある。	sky	5.68	-1.9	アルニタク	
skythuban	トゥバン	恒星(りゅう座)	とぅばん	⭐	りゅう座の3等星。地球の自転軸がゆっくりぶれるため、約5000年前のエジプトのピラミッドの時代には北極星だった。	sky	14.07	64.4	トゥバン	
skycorcaroli	コル・カロリ	恒星(りょうけん座)	こるかろり	⭐	りょうけん座でいちばん明るい星。名前はチャールズの心臓という意味で、イギリスの王にちなむ。望遠鏡で2つに分かれる二重星。	sky	12.93	38.3	コル・カロリ	
skyproxima	プロキシマ・ケンタウリ	恒星(ケンタウルス座)	ぷろきしまけんたうり	🔴	太陽からいちばん近い恒星。約4.2光年。小さく暗い赤色矮星で肉眼では見えない。地球に似た大きさの惑星が見つかっている。	sky	14.49	-62.7	プロキシマ・ケンタウリ	
skybarnard	バーナード星	恒星(へびつかい座)	ばーなーどせい	🔴	太陽から2番目に近い恒星系。約6光年。星座の中を動く速さが全天でいちばん速く、約180年で月の直径ぶん動く。	sky	17.96	4.7	バーナード星	
skyschedar	シェダル	恒星(カシオペヤ座)	しぇだる	⭐	カシオペヤ座のW字のうち、いちばん明るいオレンジ色の2等星。王妃の胸にあたる。名前はアラビア語で胸の意味。	sky	0.68	56.5	カシオペヤ座アルファ星	
skydubhe	ドゥーベ	恒星(おおぐま座)	どぅーべ	⭐	北斗七星のひしゃくの先の星。となりのメラクと合わせて指極星とよばれ、2つの間を5倍のばすと北極星が見つかる。	sky	11.06	61.8	ドゥーベ	
skymerak	メラク	恒星(おおぐま座)	めらく	⭐	北斗七星のひしゃくの先から2番目の星。ドゥーベとともに北極星をさがす指極星。名前はアラビア語で腰の意味。	sky	11.03	56.4	おおぐま座ベータ星	
skyalkaid	アルカイド	恒星(おおぐま座)	あるかいど	⭐	北斗七星の柄のいちばん先にある青白い2等星。ここから曲線をのばすとアークトゥルス、スピカにとどく春の大曲線のはじまり。	sky	13.79	49.3	アルカイド	
skypleiades	プレアデス星団	星団(おうし座)	ぷれあですせいだん	✨	おうし座にある若い星の集まりで、日本では すばる とよばれる。肉眼で6〜7個、双眼鏡でたくさん見える。清少納言も枕草子にほめた。	sky	3.79	24.1	プレアデス星団	1
skyhyades	ヒアデス星団	星団(おうし座)	ひあですせいだん	✨	おうし座の牛の顔にあたるV字形の星の集まり。地球にいちばん近い散開星団で約150光年。アルデバランは手前にあって仲間ではない。	sky	4.45	15.9	ヒアデス星団	
skypraesepe	プレセペ星団	星団(かに座)	ぷれせぺせいだん	✨	かに座のまん中にある散開星団。肉眼ではぼんやりした雲のように見え、双眼鏡で星に分かれる。かいば桶や蜂の巣ともよばれる。	sky	8.67	19.7	プレセペ星団	
skydoublecluster	二重星団	星団(ペルセウス座)	にじゅうせいだん	✨	ペルセウス座にある、2つの散開星団がならんだ星団。カシオペヤ座とペルセウス座のあいだにあり、双眼鏡でとても美しく見える。	sky	2.33	57.1	二重星団	
skym13	ヘルクレス座球状星団	星団(ヘルクレス座)	へるくれすざきゅうじょうせいだん	✨	M13。数十万個の星がボールのように集まった球状星団で、北の空でいちばん見ごたえがある。1974年に宇宙人へ向けて電波が送られた。	sky	16.69	36.5	M13 (天体)	
skyomegacen	オメガ星団	星団(ケンタウルス座)	おめがせいだん	✨	銀河系でいちばん大きな球状星団。約1000万個の星が集まり、昔 銀河系にのみこまれた小さな銀河の中心だったと考えられる。	sky	13.45	-47.5	オメガ星団	
skym42	オリオン大星雲	星雲(オリオン座)	おりおんだいせいうん	🌌	オリオン座の三つ星の下にぼんやり見える、鳥が羽を広げたような星雲。ガスの中で新しい星が生まれている、地球にいちばん近い星の工場。	sky	5.59	-5.4	オリオン大星雲	
skyhorsehead	馬頭星雲	星雲(オリオン座)	ばとうせいうん	🐴	オリオン座の三つ星のすぐ下にある、馬の頭の形をした暗黒星雲。後ろの明るい星雲を、手前の冷たいガスとちりがかくして黒く見える。	sky	5.68	-2.5	馬頭星雲	
skycrab	かに星雲	星雲(おうし座)	かにせいうん	🦀	1054年に藤原定家の日記にも記録された超新星爆発の残がい。おうし座にあり、中心には1秒に30回まわる中性子星パルサーがある。	sky	5.58	22.0	かに星雲	
skyeagle	わし星雲	星雲(へび座)	わしせいうん	🦅	へび座にある星雲。ハッブル望遠鏡がとった、星が生まれているガスの柱 創造の柱 の写真で世界的に有名になった。	sky	18.31	-13.8	わし星雲	
skyrosette	ばら星雲	星雲(いっかくじゅう座)	ばらせいうん	🌹	いっかくじゅう座にある、バラの花のように見える大きな星雲。まん中の若い星たちの光でガスが赤く光っている。	sky	6.55	4.9	ばら星雲	
skylagoon	干潟星雲	星雲(いて座)	ひがたせいうん	🌌	いて座にある、天の川の中で肉眼でも見える明るい星雲。干潟のような暗い帯が横切る。新しい星が生まれている。	sky	18.06	-24.4	干潟星雲	
skytrifid	三裂星雲	星雲(いて座)	さんれつせいうん	🌌	いて座の干潟星雲のすぐ北にある星雲。暗黒星雲の帯で3つに割れて見える。赤い部分と青い部分がならぶ美しい星雲。	sky	18.04	-23.0	三裂星雲	
skynorthamerica	北アメリカ星雲	星雲(はくちょう座)	きたあめりかせいうん	🗺️	はくちょう座のデネブの近くにある、北アメリカ大陸そっくりの形の星雲。とても大きいが淡いので、写真でよく分かる。	sky	20.98	44.3	北アメリカ星雲	
skyring	環状星雲	星雲(こと座)	かんじょうせいうん	💍	こと座にある、ドーナツのようなリングの形の惑星状星雲。M57。太陽くらいの星が一生の終わりにガスをふき出してできた。	sky	18.89	33.0	環状星雲	
skydumbbell	あれい状星雲	星雲(こぎつね座)	あれいじょうせいうん	🏋️	こぎつね座にある、鉄アレイの形の惑星状星雲。M27。1764年にメシエがはじめて見つけた惑星状星雲で、双眼鏡でも見える。	sky	19.99	22.7	亜鈴状星雲	
