# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
saigyo	西行	日本・平安〜鎌倉時代	さいぎょう	西行	武士をやめて僧になり、全国を旅して歌をよんだ歌人。桜と月の歌が多い。	35.01	135.77	願はくは 花の下にて 春死なん その如月の 望月のころ。	願わくは桜の花の下で、春に死にたい。旧暦2月の満月のころに、という歌。本当にそのころに亡くなった。		京都
chomei	鴨長明	日本・平安〜鎌倉時代	かものちょうめい	鴨長明	「方丈記」を書いた随筆家。災害や争いの世を見て、小さな家で静かに暮らした。	35.01	135.77	ゆく河の流れは絶えずして、しかも、もとの水にあらず。	川の流れは止まらないが、流れる水は同じではない。世の中も人も変わり続ける、という「方丈記」の書き出し。	1	京都
kenko	吉田兼好	日本・鎌倉〜室町時代	よしだけんこう	吉田兼好	「徒然草」を書いた随筆家。人の生き方について、するどくユーモアのある文章を残した。	35.01	135.77	つれづれなるままに、日暮らし、硯にむかひて。	することもなく、一日じゅう硯に向かって思いつくことを書いている、という「徒然草」の書き出し。	1	京都
nakamaro	阿倍仲麻呂	日本・奈良時代	あべのなかまろ	阿倍仲麻呂	遣唐使として唐に渡り、皇帝に仕えた。日本に帰る船が難破し、ついに帰れなかった。	34.68	135.83	天の原 ふりさけ見れば 春日なる 三笠の山に 出でし月かも。	大空を見上げると、ふるさとの奈良の三笠山に出た月と同じ月だ、という歌。遠い唐でふるさとを思ってよんだ。		奈良
masashige	楠木正成	日本・鎌倉〜南北朝時代	くすのきまさしげ	楠木正成	少ない兵で幕府の大軍と戦った知略の武将。後醍醐天皇に最後まで忠義をつくした。	34.44	135.62	七生報国。	七回生まれ変わっても国に報いる、という意味。湊川の戦いで亡くなるときの言葉と伝えられる。		千早赤阪(大阪府)
kanbei	黒田官兵衛	日本・戦国〜江戸時代	くろだかんべえ	黒田孝高	秀吉の軍師として天下統一を助けた武将。頭の良さをおそれられた。	34.84	134.69	人に媚びず、富貴を望まず。	人にこびへつらわず、お金や地位を欲しがらない。自分の力で正しく生きる、という言葉。		姫路(兵庫県)
mitsukuni	徳川光圀	日本・江戸時代	とくがわみつくに	徳川光圀	「水戸黄門」として知られる水戸藩主。「大日本史」という歴史の本を作り始めた。	36.37	140.47	苦は楽の種、楽は苦の種と知るべし。	苦しいことは楽しいことのもとになり、楽ばかりしていると苦しいことになる、という意味。	1	水戸(茨城県)
kuranosuke	大石内蔵助	日本・江戸時代	おおいしくらのすけ	大石良雄	赤穂浪士を率いて主君のかたきを討った「忠臣蔵」の中心人物。	34.75	134.39	あら楽し 思ひは晴るる 身は捨つる 浮世の月に かかる雲なし。	本望をとげて心は晴れ晴れ。命は捨てても、この世の月に雲一つない、という辞世の句。		赤穂(兵庫県)
norinaga	本居宣長	日本・江戸時代	もとおりのりなが	本居宣長	「古事記」を35年かけて研究し「古事記伝」を書いた国学者。医者をしながら学問を続けた。	34.58	136.53	敷島の 大和心を 人問はば 朝日に匂ふ 山桜花。	日本人の心とは何かと聞かれたら、朝日に照らされて咲く山桜の花のようなものだと答えよう、という歌。		松阪(三重県)
kaibara	貝原益軒	日本・江戸時代	かいばらえきけん	貝原益軒	健康に生きる方法を書いた「養生訓」で知られる学者。83歳まで元気に本を書き続けた。	33.59	130.4	人の身は、父母をもとにし、天地をはじめとす。	自分の体は父母から、そしてもとをたどれば天地からもらったもの。だから大切にしなさい、という「養生訓」の言葉。		福岡
issai	佐藤一斎	日本・江戸時代	さとういっさい	佐藤一斎	江戸時代の儒学者。「言志四録」は西郷隆盛たちの愛読書だった。	35.36	137.44	少にして学べば、壮にして為すあり。壮にして学べば、老いて衰えず。老いて学べば、死して朽ちず。	若いとき学べば大人になって役立ち、大人になって学べば年を取っても衰えず、年を取って学べば死んでも忘れられない、という言葉。		岩村(岐阜県)
nishida	西田幾多郎	日本・明治〜昭和	にしだきたろう	西田幾多郎	「善の研究」を書いた日本を代表する哲学者。京都の散歩道は「哲学の道」と呼ばれる。	36.72	136.71	人は人 吾はわれ也 とにかくに 吾行く道を 吾は行くなり。	人は人、自分は自分。ともかく自分の道を自分は行く、という歌。人とくらべず、自分の道を歩く決意。		かほく(石川県)
nakamura	中村哲	日本・昭和〜令和	なかむらてつ	中村哲 (医師)	アフガニスタンで医者として働き、干ばつに苦しむ人のために用水路を作った。2019年に現地で亡くなった。	33.59	130.4	百の診療所より、一本の用水路。	病気を治すより、飲み水と畑の水を届けるほうが多くの命を救える、と考えて自ら用水路を作った医者の言葉。		福岡
ogatasadako	緒方貞子	日本・昭和〜令和	おがたさだこ	緒方貞子	国連難民高等弁務官として、世界中の難民を助けた。日本人女性で初めて国連のトップの一人になった。	35.68	139.75	人間の安全保障。	国を守るだけでなく、一人一人の人間の命と暮らしを守ることが大切だ、という考え。世界の支援の考え方を変えた。		東京
ryokan	良寛	日本・江戸時代	りょうかん	良寛	子どもたちと手まりをついて遊んだやさしい僧。書と歌にすぐれ、質素に暮らした。	37.54	138.71	散る桜 残る桜も 散る桜。	散っていく桜も、まだ残っている桜も、いつかは散る。すべてはうつり変わる、という句。		出雲崎(新潟県)
tenshin	岡倉天心	日本・明治	おかくらてんしん	岡倉天心	日本の美術を守り、世界に伝えた人。「茶の本」を英語で書いた。	35.44	139.64	アジアは、一つである。	西洋にならうばかりの時代に、アジアの文化の価値を世界に向けて語った「東洋の理想」の書き出し。		横浜(神奈川県)
hisashige	田中久重	日本・江戸〜明治	たなかひさしげ	田中久重	からくり人形や万年時計を作った「東洋のエジソン」。東芝のもとになる会社を作った。	33.32	130.51	知識は失敗より学ぶ。	失敗こそが本当の知識を教えてくれる、という意味。何度も試して作り続けた発明家の言葉。		久留米(福岡県)
