# 日本史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
jvkenpo46	日本国憲法の公布	日本・1946年 東京	にほんこくけんぽうのこうふ	📜	1946年11月3日に公布、1947年5月3日に施行された。国民主権、基本的人権の尊重、平和主義の三原則をかかげ、天皇は象徴となった。	35.68	139.74	国会議事堂	1
jvminamata	水俣病の公式確認	日本・1956年 熊本(水俣)	みなまたびょうのこうしきかくにん	🏭	1956年、工場が海に流したメチル水銀が原因の病気が水俣で公式に確認された。四大公害病の一つで、1967年から裁判が争われた。	32.21	130.40	水俣病資料館	
jvfukuryu	第五福竜丸事件	日本・1954年 静岡(焼津)	だいごふくりゅうまるじけん	🚢	1954年、アメリカのビキニ環礁での水爆実験で焼津のマグロ漁船が死の灰を浴び、乗組員が亡くなった。原水爆禁止運動が全国に広がった。	34.87	138.32	焼津 第五福竜丸母港の碑	
jvanpo	安保闘争	日本・1960年 東京	あんぽとうそう	✊	1960年、岸信介内閣が日米安全保障条約の改定を強行採決し、国会の周りを連日デモが囲んだ。条約は成立したが、岸内閣は総辞職した。	35.68	139.74	国会議事堂	
jvtokyo64	東京オリンピック	日本・1964年 東京	とうきょうおりんぴっく	🎌	1964年10月10日に開幕したアジア初のオリンピック。戦後の復興を世界に示し、直前に東海道新幹線や首都高速道路が開通した。	35.68	139.71	国立競技場	1
jvshinkansen	東海道新幹線の開業	日本・1964年 東京	とうかいどうしんかんせんのかいぎょう	🚂	1964年10月1日、東京と新大阪を結ぶ世界初の高速鉄道が開業した。夢の超特急と呼ばれ、4時間で走った。高度経済成長の象徴。	35.68	139.77	東京駅	
jvbanpaku	大阪万博	日本・1970年 大阪(吹田)	おおさかばんぱく	🗾	1970年、人類の進歩と調和をテーマにアジア初の万国博覧会が開かれ、約6400万人が訪れた。岡本太郎の太陽の塔と月の石が人気だった。	34.81	135.53	万博記念公園 太陽の塔	1
jvokinawahenkan	沖縄返還	日本・1972年 沖縄	おきなわへんかん	🕊️	1972年5月15日、戦後27年間アメリカが統治していた沖縄が日本に返された。佐藤栄作首相が交渉したが、多くの米軍基地はそのまま残った。	26.21	127.68	沖縄県庁	
jvsapporo	札幌オリンピック	日本・1972年 北海道(札幌)	さっぽろおりんぴっく	🎌	1972年2月、アジア初の冬季オリンピックが札幌で開かれた。70メートル級ジャンプで日本勢が表彰台を独占し、日の丸飛行隊と呼ばれた。	43.03	141.30	大倉山ジャンプ競技場	
jvnikko	日航機墜落事故	日本・1985年 群馬(御巣鷹)	にっこうきついらくじこ	✈️	1985年8月12日、日本航空123便が群馬の御巣鷹の尾根に墜落し、520人が亡くなった。単独の航空機事故として世界最悪。	36.00	138.69	御巣鷹の尾根	
jvhanshin	阪神・淡路大震災	日本・1995年 兵庫(神戸)	はんしんあわじだいしんさい	💥	1995年1月17日午前5時46分、マグニチュード7.3の地震が神戸をおそい、6400人以上が亡くなった。全国からボランティアが集まり、ボランティア元年と呼ばれた。	34.69	135.19	神戸港震災メモリアルパーク	1
jvsarin	地下鉄サリン事件	日本・1995年 東京	ちかてつさりんじけん	💥	1995年3月20日、オウム真理教が通勤時間の地下鉄に猛毒のサリンをまき、13人が亡くなり6000人以上が被害を受けた。世界を震わせた無差別テロ。	35.67	139.75	霞ケ関駅	
jvnagano	長野オリンピック	日本・1998年 長野	ながのおりんぴっく	🎌	1998年2月、長野で冬季オリンピックが開かれた。ジャンプ団体の金メダルやスピードスケートの清水宏保の金メダルに日本中がわいた。	36.65	138.19	長野オリンピック記念アリーナ エムウェーブ	
jvhigashinihon	東日本大震災	日本・2011年 宮城(石巻)	ひがしにほんだいしんさい	💥	2011年3月11日午後2時46分、マグニチュード9.0の巨大地震と大津波が東北をおそい、約2万人が亡くなった。福島第一原発の事故も起きた。	38.43	141.31	石巻南浜津波復興祈念公園	1
jvtokyo2020	東京2020オリンピック	日本・2021年 東京	とうきょうにせんにじゅうおりんぴっく	🎌	新型コロナウイルスの流行で1年延期され、2021年夏にほとんど無観客で開かれた。日本は史上最多の27個の金メダルを取った。	35.68	139.71	国立競技場	
