# 世界の首都。key	首都名	国名	よみ	絵文字(国旗)	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
capantananarivo	アンタナナリボ	マダガスカル	あんたななりぼ	🇲🇬	世界で4番目に大きい島マダガスカルの首都。標高1300mの丘の上にあり、名前は「千人の町」の意味。	-18.88	47.51		
capportlouis	ポートルイス	モーリシャス	ぽーとるいす	🇲🇺	インド洋の島国モーリシャスの首都。ドードーという絶滅した鳥がいた島。	-20.16	57.50		
capvictoria	ビクトリア	セーシェル	びくとりあ	🇸🇨	インド洋の島国セーシェルの首都。アフリカでいちばん小さな首都で、小さな時計塔がシンボル。	-4.62	55.45		
capmoroni	モロニ	コモロ	もろに	🇰🇲	インド洋の島国コモロの首都。火山の島グランドコモロにあり、バニラやイランイランの香りの国。	-11.70	43.26		
cappretoria	プレトリア	南アフリカ	ぷれとりあ	🇿🇦	南アフリカの行政の首都。立法はケープタウン、司法はブルームフォンテーンと3つに分かれている。	-25.75	28.19	ユニオンビル	1
capmbabane	ムババーネ	エスワティニ	むばばーね	🇸🇿	アフリカで数少ない王国エスワティニ(旧スワジランド)の首都。山にかこまれた高原にある。	-26.32	31.13		
capmaseru	マセル	レソト	ませる	🇱🇸	南アフリカに囲まれた「天空の王国」レソトの首都。国全体が標高1400m以上にある。	-29.31	27.48		
capgaborone	ハボローネ	ボツワナ	はぼろーね	🇧🇼	ダイヤモンドの産出で発展したボツワナの首都。1966年の独立にあわせて造られた計画都市。	-24.65	25.91		
capwindhoek	ウィントフック	ナミビア	うぃんとふっく	🇳🇦	ナミブ砂漠の国ナミビアの首都。ドイツの植民地だったため、ドイツ風の建物が残る。	-22.56	17.08		
capluanda	ルアンダ	アンゴラ	るあんだ	🇦🇴	大西洋に面したアンゴラの首都。石油で発展し、世界でも物価が高い都市として知られる。	-8.84	13.23		
capkinshasa	キンシャサ	コンゴ民主共和国	きんしゃさ	🇨🇩	コンゴ川のほとりにあるアフリカ最大級の都市。川の向こう岸にコンゴ共和国の首都ブラザビルが見える。	-4.32	15.31		
capbrazzaville	ブラザビル	コンゴ共和国	ぶらざびる	🇨🇬	コンゴ川をはさんでキンシャサの対岸にある首都。ローマとバチカンをのぞくと、世界でいちばん近い首都どうしのペア。	-4.27	15.28		
caplibreville	リーブルビル	ガボン	りーぶるびる	🇬🇦	赤道のすぐ北、大西洋に面したガボンの首都。名前はフランス語で「自由の町」の意味。	0.39	9.45		
capmalabo	マラボ	赤道ギニア	まらぼ	🇬🇶	大陸ではなくビオコ島にある首都。アフリカで唯一スペイン語が公用語の国。	3.75	8.78		
capsaotome	サントメ	サントメ・プリンシペ	さんとめ	🇸🇹	ギニア湾に浮かぶ島国の首都。カカオの産地で、赤道がすぐ近くを通る。	0.34	6.73		
capyaounde	ヤウンデ	カメルーン	やうんで	🇨🇲	7つの丘に広がるカメルーンの首都。最大の都市はドゥアラ。サッカーの強い国。	3.87	11.52		
capbangui	バンギ	中央アフリカ	ばんぎ	🇨🇫	ウバンギ川のほとりにある中央アフリカの首都。アフリカ大陸のほぼまん中にある。	4.39	18.56		
capndjamena	ンジャメナ	チャド	んじゃめな	🇹🇩	サハラ砂漠の南にあるチャドの首都。ンで始まる珍しい名前で、カメルーンとの国境の川沿いにある。	12.13	15.06		
capabuja	アブジャ	ナイジェリア	あぶじゃ	🇳🇬	1991年にラゴスから移されたナイジェリアの首都。国のまん中に造られ、大きな岩アソ・ロックが見守る。	9.06	7.49	アブジャ国立モスク	1
capniamey	ニアメ	ニジェール	にあめ	🇳🇪	ニジェール川のほとりにあるニジェールの首都。サハラ砂漠の南のはしにあり、とても暑い。	13.51	2.11		
capportonovo	ポルトノボ	ベナン	ぽるとのぼ	🇧🇯	ベナンの憲法上の首都。政府の機能の多くは最大都市コトヌーにある。名前はポルトガル語で「新しい港」。	6.50	2.60		
caplome	ロメ	トーゴ	ろめ	🇹🇬	ギニア湾に面したトーゴの首都。ガーナとの国境のすぐそばにある珍しい首都。	6.13	1.22		
capaccra	アクラ	ガーナ	あくら	🇬🇭	ギニア湾に面したガーナの首都。カカオの輸出で栄え、野口英世が黄熱病の研究をした町。	5.56	-0.19	独立広場 アクラ	
capyamoussoukro	ヤムスクロ	コートジボワール	やむすくろ	🇨🇮	1983年にアビジャンから移された首都。バチカンより大きいといわれる世界最大級の教会がある。	6.83	-5.29	平和の聖母大聖堂	
capouagadougou	ワガドゥグ	ブルキナファソ	わがどぅぐ	🇧🇫	西アフリカの内陸国ブルキナファソの首都。アフリカ最大の映画祭が2年に1度開かれる。	12.37	-1.52		
capbamako	バマコ	マリ	ばまこ	🇲🇱	ニジェール川のほとりにあるマリの首都。かつて黄金で栄えたマリ帝国の国。	12.64	-8.00		
capnouakchott	ヌアクショット	モーリタニア	ぬあくしょっと	🇲🇷	サハラ砂漠と大西洋のあいだにあるモーリタニアの首都。1960年の独立にあわせて砂漠に造られた。	18.08	-15.98		
capdakar	ダカール	セネガル	だかーる	🇸🇳	アフリカ大陸の西のはしにあるセネガルの首都。パリ・ダカールラリーのゴールとして有名だった。	14.69	-17.44	アフリカ・ルネサンスの像	
capbanjul	バンジュール	ガンビア	ばんじゅーる	🇬🇲	アフリカ大陸でいちばん小さい国ガンビアの首都。ガンビア川の河口の島にある。	13.45	-16.58		
capbissau	ビサウ	ギニアビサウ	びさう	🇬🇼	大西洋に面したギニアビサウの首都。ポルトガルの植民地だったため、ポルトガル語が公用語。	11.86	-15.60		
capconakry	コナクリ	ギニア	こなくり	🇬🇳	大西洋につき出た半島にあるギニアの首都。ボーキサイトの産出で知られる国。	9.64	-13.58		
capfreetown	フリータウン	シエラレオネ	ふりーたうん	🇸🇱	解放された奴隷が住むために造られた町で、名前は「自由の町」の意味。	8.48	-13.23		
capmonrovia	モンロビア	リベリア	もんろびあ	🇱🇷	アフリカ最古の共和国リベリアの首都。アメリカ大統領モンローの名前がつけられた。	6.30	-10.80		
cappraia	プライア	カーボベルデ	ぷらいあ	🇨🇻	大西洋に浮かぶ島国カーボベルデの首都。サンティアゴ島にあり、名前は「浜辺」の意味。	14.93	-23.51		
capankara	アンカラ	トルコ	あんから	🇹🇷	アナトリア高原にあるトルコの首都。イスタンブールより小さいが、1923年の建国とともに首都になった。	39.93	32.86	アタテュルク廟	1
captbilisi	トビリシ	ジョージア	とびりし	🇬🇪	コーカサス山脈の南にあるジョージアの首都。温泉がわく町で、名前は「温かい」の意味。	41.72	44.79		
capyerevan	エレバン	アルメニア	えればん	🇦🇲	世界最古の都市のひとつで、紀元前782年から続く。晴れた日にはアララト山が見える。	40.18	44.51		
capbaku	バクー	アゼルバイジャン	ばくー	🇦🇿	カスピ海に面した石油の町。炎の形をした3つの高層ビルが夜に光る。旧市街は世界遺産。	40.41	49.87	フレイムタワーズ	
capdamascus	ダマスカス	シリア	だますかす	🇸🇾	人が住み続けている世界最古の都市のひとつ。ウマイヤド・モスクや旧市街のスークがある。	33.51	36.29	ウマイヤド・モスク	
capbeirut	ベイルート	レバノン	べいるーと	🇱🇧	地中海に面したレバノンの首都。かつて「中東のパリ」と呼ばれ、フェニキア人の港町から続く。	33.89	35.50		
capjerusalem	エルサレム	イスラエル	えるされむ	🇮🇱	ユダヤ教・キリスト教・イスラム教の3つの聖地。嘆きの壁や岩のドームがある。多くの国は大使館をテルアビブに置く。	31.77	35.22	嘆きの壁	1
capamman	アンマン	ヨルダン	あんまん	🇯🇴	丘の上に広がるヨルダンの首都。ローマ時代の劇場が残り、世界遺産ペトラへの入り口。	31.95	35.93	アンマン城塞	
capbaghdad	バグダッド	イラク	ばぐだっど	🇮🇶	ティグリス川のほとりにあるイラクの首都。8世紀にイスラム帝国の都として栄え、千夜一夜物語の舞台。	33.32	44.37		1
captehran	テヘラン	イラン	てへらん	🇮🇷	エルブルズ山脈のふもとにあるイランの首都。人口900万人の大都市で、アザディタワーがシンボル。	35.69	51.39	アザディタワー	1
capkuwaitcity	クウェート	クウェート	くうぇーと	🇰🇼	ペルシャ湾に面した国と同じ名前の首都。石油で豊かな国で、3本のクウェートタワーがシンボル。	29.38	47.99	クウェートタワー	
capriyadh	リヤド	サウジアラビア	りやど	🇸🇦	アラビア半島の内陸にあるサウジアラビアの首都。砂漠の中に高層ビルが並ぶ。聖地メッカは西にある。	24.71	46.68	キングダムセンター	1
capmanama	マナーマ	バーレーン	まなーま	🇧🇭	ペルシャ湾の島国バーレーンの首都。橋でサウジアラビアとつながり、F1グランプリが開かれる。	26.23	50.59		
capdoha	ドーハ	カタール	どーは	🇶🇦	ペルシャ湾に面したカタールの首都。2022年のサッカーワールドカップの開催地。日本ではドーハの悲劇で知られる。	25.29	51.53		
capabudhabi	アブダビ	アラブ首長国連邦	あぶだび	🇦🇪	7つの首長国からなるUAEの首都。ドバイより石油が豊か。白く輝く巨大なシェイク・ザイード・モスクがある。	24.45	54.38	シェイク・ザイード・グランド・モスク	1
capmuscat	マスカット	オマーン	ますかっと	🇴🇲	アラビア海に面したオマーンの首都。山と海にはさまれた古い港町で、白い建物が並ぶ。	23.59	58.41		
capsanaa	サヌア	イエメン	さぬあ	🇾🇪	標高2300mにあるイエメンの首都。土でできた高層の家が並ぶ旧市街は世界遺産。	15.37	44.19	サヌア旧市街	
