# key	名前	場所	よみ	Commons の検索語	解説	緯度	経度
galapagos	ガラパゴス諸島	エクアドル	がらぱごすしょとう	Galapagos giant tortoise	ゾウガメやイグアナなど めずらしい生き物がくらす島々。ダーウィンが進化論を考えるきっかけになった。	-0.6	-90.4
nazca	ナスカの地上絵	ペルー	なすかのちじょうえ	Nazca Lines hummingbird	砂漠に描かれた 何百もの巨大な絵。ハチドリやサルなど、空から見ないと形がわからない。	-14.70	-75.14
cusco	クスコ	ペルー	くすこ	Cusco Plaza de Armas	インカ帝国の都だった町。カミソリの刃も通らないといわれる石組みの壁が残る。標高3400m。	-13.517	-71.978
titicaca	チチカカ湖	ペルー・ボリビア	ちちかかこ	Lake Titicaca Uros islands	標高3800mにある「船が通れる いちばん高い湖」。アシで作った浮き島に人がくらしている。	-15.9	-69.3
rainbowmtn	レインボーマウンテン	ペルー	れいんぼーまうんてん	Vinicunca Rainbow Mountain	赤・黄・緑・青など 7色のしま模様の山。標高5000mを歩いて登る。	-13.870	-71.303
torres	トーレス・デル・パイネ	チリ	とーれすでるぱいね	Torres del Paine	3本の岩の塔がそびえる パタゴニアの国立公園。氷河と青い湖、グアナコなどの動物がいる。	-51.0	-73.0
atacama	アタカマ砂漠	チリ	あたかまさばく	Atacama Valle de la Luna	世界でもっとも乾いた砂漠。「月の谷」のような風景で、夜空がきれいなため天文台が多い。	-22.92	-68.20
caminito	カミニート	アルゼンチン・ブエノスアイレス	かみにーと	Caminito La Boca	色とりどりにぬられた家がならぶ通り。タンゴが生まれた港町ボカ地区にある。	-34.639	-58.363
sugarloaf	ポン・ヂ・アスーカル	ブラジル・リオデジャネイロ	ぽんぢあすーかる	Sugarloaf Mountain Rio	「砂糖パン」という意味の高さ396mの岩山。ロープウェイで登ると、リオの海岸が見わたせる。	-22.949	-43.155
lencois	レンソイス	ブラジル	れんそいす	Lençóis Maranhenses	真っ白な砂丘の間に、雨季だけ青い湖がいくつも現れる。「シーツ」という意味の名前。	-2.55	-43.0
amazon	アマゾン川	ブラジル	あまぞんがわ	Amazon river rainforest aerial	世界でいちばん水の量が多い川。まわりの熱帯雨林は「地球の肺」とよばれ、たくさんの生き物がくらす。	-3.1	-60.0
cartagena	カルタヘナ	コロンビア	かるたへな	Cartagena old town colonial	カリブ海にのぞむ城壁の町。カラフルな家とバルコニーが、スペイン時代のまま残る。	10.424	-75.551
twelveapostles	12使徒	オーストラリア	じゅうにしと	Twelve Apostles Victoria	海にそびえる石灰岩の柱。グレート・オーシャン・ロードのハイライトで、波にけずられて数がへっている。	-38.666	143.104
bluemountains	ブルー・マウンテンズ	オーストラリア	ぶるーまうんてんず	Blue Mountains Three Sisters	ユーカリの森がつづく山地。3本の岩「スリー・シスターズ」が有名で、森が青くかすんで見える。	-33.732	150.312
whitehaven	ホワイトヘブンビーチ	オーストラリア	ほわいとへぶんびーち	Whitehaven Beach	7kmつづく真っ白な砂浜。砂は98%がシリカで、雪のように白く さらさらしている。	-20.28	149.04
tekapo	テカポ湖	ニュージーランド	てかぽこ	Lake Tekapo Church of the Good Shepherd	ミルキーブルーの湖のほとりに小さな石の教会が建つ。夜空がきれいで、星空の保護区。	-44.004	170.477
mtcook	マウント・クック	ニュージーランド	まうんとくっく	Aoraki Mount Cook	標高3724mでニュージーランドの最高峰。氷河をたたえ、先住民の言葉で「雲をつきぬける山」。	-43.595	170.142
rotorua	ロトルア	ニュージーランド	ろとるあ	Rotorua Pohutu geyser	温泉と間欠泉の町。「ポフツ」の間欠泉は高さ30mまで湯をふき上げる。マオリの文化も体験できる。	-38.16	176.25
borabora	ボラボラ島	フランス領ポリネシア	ぼらぼらとう	Bora Bora lagoon	青いラグーンにかこまれた火山の島。水上コテージが並ぶ「太平洋の真珠」。	-16.5	-151.74
# ── 2026-09-24 追加(世界遺産検定レベル: 世界の代表的な世界遺産)
auschwitz	アウシュヴィッツ強制収容所	ポーランド	あうしゅゔぃっつきょうせいしゅうようじょ	Auschwitz I main gate	第二次世界大戦中にナチス・ドイツが100万人以上を殺害した収容所。二度と繰り返さないための「負の遺産」。	50.03	19.20
wieliczka	ヴィエリチカ岩塩坑	ポーランド	ゔぃえりちかがんえんこう	Wieliczka Salt Mine chapel	700年以上掘られてきた岩塩の鉱山。地下に塩で作った礼拝堂やシャンデリアがある。	49.98	20.05
sanssouci	サンスーシ宮殿	ドイツ・ポツダム	さんすーしきゅうでん	Sanssouci Palace	プロイセン王フリードリヒ2世の夏の宮殿。名前は「憂いなし」の意味。段々のぶどう畑の上に建つ。	52.40	13.04
aachen	アーヘン大聖堂	ドイツ	あーへんだいせいどう	Aachen Cathedral	カール大帝が建てた8世紀の礼拝堂が中心。ドイツで最初に世界遺産になった建物。	50.77	6.08
lubeck	リューベック	ドイツ	りゅーべっく	Lübeck Holstentor	ハンザ同盟の中心だった港町。赤レンガの門ホルステン門と、教会の塔がならぶ旧市街。	53.87	10.68
wartburg	ヴァルトブルク城	ドイツ	ゔぁるとぶるくじょう	Wartburg Castle	ルターが聖書をドイツ語に翻訳した城。中世の騎士の歌合戦の舞台。	50.97	10.31
wurzburg	ヴュルツブルク司教館	ドイツ	ゔゅるつぶるくしきょうかん	Würzburg Residence	バロック様式の豪華な宮殿。階段の間の天井には世界最大級のフレスコ画。	49.79	9.94
chartres	シャルトル大聖堂	フランス	しゃるとるだいせいどう	Chartres Cathedral	ゴシック建築の最高傑作の一つ。「シャルトル・ブルー」とよばれる青いステンドグラスが有名。	48.45	1.49
pontdugard	ポン・デュ・ガール	フランス	ぽんでゅがーる	Pont du Gard	古代ローマの水道橋。3段のアーチで高さ49m。2000年前の技術を今に伝える。	43.95	4.54
avignon	アヴィニョン	フランス	あゔぃにょん	Palais des Papes Avignon	14世紀にローマ教皇が住んだ教皇宮殿と、途中で切れた橋「サン・ベネゼ橋」。	43.95	4.81
lascaux	ラスコー洞窟	フランス	らすこーどうくつ	Lascaux cave painting	約2万年前の旧石器時代の壁画。牛や馬が生き生きと描かれている。本物は保存のため非公開。	45.05	1.17
reims	ランス大聖堂	フランス	らんすだいせいどう	Reims Cathedral	歴代のフランス王が戴冠式を行った大聖堂。「微笑みの天使」の彫刻で知られる。	49.25	4.03
lyon	リヨン旧市街	フランス	りよんきゅうしがい	Vieux Lyon	絹織物で栄えた町。ルネサンス期の建物と、建物の間を抜ける通路「トラブール」。美食の町。	45.76	4.83
siena	シエナ	イタリア	しえな	Siena Piazza del Campo	中世の姿を残す丘の町。貝の形をしたカンポ広場で、年2回の競馬「パリオ」が行われる。	43.32	11.33
sangimignano	サン・ジミニャーノ	イタリア	さんじみにゃーの	San Gimignano towers	中世の塔が14本もそびえる「塔の町」。トスカーナの丘の上。	43.47	11.04
assisi	アッシジ	イタリア	あっしじ	Assisi Basilica of San Francesco	聖フランチェスコの生まれた町。大聖堂にはジョットのフレスコ画がある。	43.07	12.61
alberobello	アルベロベッロ	イタリア	あるべろべっろ	Alberobello trulli	とんがり屋根の白い家「トゥルッリ」が1000軒以上ならぶ町。	40.78	17.24
matera	マテーラ	イタリア	まてーら	Matera Sassi	岩をくりぬいた洞窟住居「サッシ」が斜面いっぱいに広がる町。石器時代から人が住む。	40.67	16.61
ravenna	ラヴェンナ	イタリア	らゔぇんな	Ravenna San Vitale mosaic	5〜6世紀のビザンティン様式のモザイクで飾られた8つの建物。	44.42	12.20
agrigento	アグリジェント	イタリア・シチリア	あぐりじぇんと	Valley of the Temples Agrigento	古代ギリシャの神殿が並ぶ「神殿の谷」。コンコルディア神殿は保存状態が良い。	37.29	13.59
verona	ヴェローナ	イタリア	ゔぇろーな	Verona Arena	ローマ時代の円形闘技場「アレーナ」が残る町。「ロミオとジュリエット」の舞台。	45.44	10.99
lastsupper	最後の晩餐	イタリア・ミラノ	さいごのばんさん	Santa Maria delle Grazie Milan	レオナルド・ダ・ヴィンチの壁画がある修道院。教会と壁画が世界遺産。	45.47	9.17
cordoba	コルドバ	スペイン	こるどば	Mezquita Cordoba	イスラム時代のモスク「メスキータ」が大聖堂になった町。赤と白の縞のアーチが850本。	37.88	-4.78
segovia	セゴビア	スペイン	せごびあ	Segovia aqueduct	ローマ時代の水道橋が町のまん中にそびえる。白雪姫の城のモデルといわれるアルカサル。	40.95	-4.12
casabatllo	カサ・バトリョ	スペイン・バルセロナ	かさばとりょ	Casa Batlló	ガウディが改築した住宅。骨のようなバルコニーと竜の背中のような屋根。	41.39	2.16
casamila	カサ・ミラ	スペイン・バルセロナ	かさみら	Casa Milà	ガウディの設計で、直線がほとんどない石の建物。「石切り場」とよばれた。	41.40	2.16
altamira	アルタミラ洞窟	スペイン	あるたみらどうくつ	Altamira bison painting	約1万5千年前の野牛の壁画で有名。「先史時代のシスティーナ礼拝堂」。	43.38	-4.12
durham	ダラム大聖堂	イギリス	だらむだいせいどう	Durham Cathedral	イングランド北部の丘に建つノルマン様式の大聖堂。映画「ハリー・ポッター」の撮影にも使われた。	54.77	-1.58
canterbury	カンタベリー大聖堂	イギリス	かんたべりーだいせいどう	Canterbury Cathedral	イギリス国教会の総本山。「カンタベリー物語」の巡礼の目的地。	51.28	1.08
bath	バース	イギリス	ばーす	Roman Baths Bath	ローマ時代の温泉浴場が残る町。町の名前が「お風呂」の語源になった。	51.38	-2.36
toweroflondon	ロンドン塔	イギリス	ろんどんとう	Tower of London	テムズ川のほとりの要塞。牢獄としても使われ、今は王冠の宝石を展示。ワタリガラスが飼われている。	51.51	-0.08
ironbridge	アイアンブリッジ	イギリス	あいあんぶりっじ	Iron Bridge Shropshire	1779年にできた世界最初の鉄の橋。産業革命の象徴。	52.63	-2.49
delphi	デルフィ	ギリシャ	でるふぃ	Delphi Tholos	古代ギリシャで「世界のへそ」とされた聖地。アポロンの神託を受けに人々が集まった。	38.48	22.50
olympia	オリンピア	ギリシャ	おりんぴあ	Ancient Olympia stadium	古代オリンピックが行われた聖地。今も聖火はここで採火される。	37.64	21.63
rhodes	ロードス島	ギリシャ	ろーどすとう	Rhodes old town Street of the Knights	騎士団が築いた城壁の町。古代には巨像「ロードス島の巨人」があった。	36.44	28.23
mycenae	ミケーネ	ギリシャ	みけーね	Mycenae Lion Gate	紀元前1600年ごろの古代都市。「獅子の門」と黄金のマスクで知られる。	37.73	22.76
troy	トロイ	トルコ	とろい	Troy ruins Hisarlik	「トロイの木馬」の伝説の都市。シュリーマンが発掘した。	39.96	26.24
nemrut	ネムルト山	トルコ	ねむるとさん	Mount Nemrut statues	山頂に王の墓と、頭部だけになった巨大な神々の石像がならぶ。	37.98	38.74
gobekli	ギョベクリ・テペ	トルコ	ぎょべくりてぺ	Göbekli Tepe	約1万2千年前の世界最古の神殿遺跡。農業が始まる前に作られた。	37.22	38.92
saintcatherine	聖カトリーナ修道院	エジプト	せいかとりーなしゅうどういん	Saint Catherine Monastery Sinai	モーセが十戒を授かったとされるシナイ山のふもとの修道院。6世紀から続く。	28.56	33.98
baalbek	バールベック	レバノン	ばーるべっく	Baalbek Temple of Bacchus	ローマ時代の巨大な神殿群。バッカス神殿は保存状態が良く、柱の高さは20m。	34.01	36.20
palmyra	パルミラ	シリア	ぱるみら	Palmyra Temple of Bel	砂漠のオアシスに栄えたローマ時代の隊商都市。内戦で一部が破壊された。	34.55	38.27
shibam	シバーム	イエメン	しばーむ	Shibam Yemen	土のレンガで建てた高層の家が500軒もならぶ「砂漠の摩天楼」。	15.93	48.63
wutai	五台山	中国	ごだいさん	Mount Wutai temple	文殊菩薩の聖地とされる山。5つの平らな峰に53の寺がある。	39.08	113.56
taishan	泰山	中国	たいざん	Mount Taishan	中国五岳の第一。歴代の皇帝が天をまつる儀式を行った聖なる山。	36.25	117.10
qufu	曲阜の孔廟	中国	きょくふのこうびょう	Confucius Temple Qufu	孔子の生まれた町。孔子をまつる孔廟と、子孫の屋敷、墓が世界遺産。	35.60	116.99
mogao	莫高窟	中国・敦煌	ばっこうくつ	Mogao Caves	シルクロードの要所 敦煌の石窟寺院。735の洞窟に仏像と壁画。	40.04	94.81
longmen	龍門石窟	中国	りゅうもんせっくつ	Longmen Grottoes	岩の壁に10万体以上の仏像を彫った石窟。高さ17mの大仏(奉先寺)が有名。	34.56	112.47
yungang	雲崗石窟	中国	うんこうせっくつ	Yungang Grottoes	5世紀に作られた石窟寺院。252の洞窟に5万体以上の仏像。	40.11	113.12
suzhou	蘇州古典園林	中国	そしゅうこてんえんりん	Humble Administrator's Garden Suzhou	「東洋のベニス」蘇州の庭園群。拙政園など、池と石と建物の美しい庭。	31.32	120.63
pingyao	平遥古城	中国	へいようこじょう	Pingyao city wall	明・清時代の城壁の町がそのまま残る。中国最初の銀行「票号」が生まれた。	37.20	112.18
chengde	承徳避暑山荘	中国	しょうとくひしょさんそう	Chengde Mountain Resort	清の皇帝の夏の離宮。周囲に外八廟とよばれる寺院群。	40.99	117.94
mingtombs	明の十三陵	中国	みんのじゅうさんりょう	Ming Tombs sacred way	明の皇帝13人の墓。参道に石の動物や役人の像がならぶ。	40.29	116.23
tulou	福建土楼	中国	ふっけんどろう	Fujian Tulou	客家の人々が建てた円形や方形の巨大な集合住宅。土の壁で、1つに数百人が住んだ。	24.66	116.96
seokguram	石窟庵	韓国・慶州	せっくつあん	Seokguram Buddha	8世紀に作られた石窟の中の仏像。仏国寺とともに世界遺産。	35.79	129.35
hwaseong	水原華城	韓国	すいげんかじょう	Hwaseong Fortress Suwon	18世紀に築かれた城壁の町。東洋と西洋の築城技術を組み合わせた。	37.29	127.01
changdeok	昌徳宮	韓国・ソウル	しょうとくきゅう	Changdeokgung	朝鮮王朝の宮殿。自然の地形を生かした庭園「秘苑」で知られる。	37.58	126.99
jongmyo	宗廟	韓国・ソウル	そうびょう	Jongmyo Shrine	朝鮮王朝の歴代の王をまつる霊廟。今も年に一度の祭礼と雅楽が続く。	37.57	126.99
haeinsa	海印寺	韓国	かいいんじ	Haeinsa Janggyeong Panjeon	8万枚の木版「高麗大蔵経」を700年以上保存している寺。	35.80	128.10
ajanta	アジャンター石窟	インド	あじゃんたーせっくつ	Ajanta Caves	断崖に掘られた30の仏教石窟。壁画は法隆寺の壁画にも影響したといわれる。	20.55	75.70
khajuraho	カジュラーホ	インド	かじゅらーほ	Khajuraho Kandariya Mahadeva temple	精巧な彫刻におおわれたヒンドゥー教の寺院群。	24.85	79.93
sanchi	サーンチー	インド	さーんちー	Sanchi Stupa	紀元前3世紀のアショーカ王が建てた仏塔(ストゥーパ)。現存する最古の仏教建築。	23.48	77.74
konark	コナーラクの太陽神寺院	インド	こなーらくのたいようしんじいん	Konark Sun Temple	巨大な戦車の形をした13世紀の寺院。24の車輪の彫刻。	19.89	86.09
hampi	ハンピ	インド	はんぴ	Hampi Virupaksha temple	ヴィジャヤナガル王国の都のあと。巨岩の間に寺院や宮殿の遺跡が点在。	15.34	76.46
fatehpur	ファテープル・シークリー	インド	ふぁてーぷるしーくりー	Fatehpur Sikri Buland Darwaza	ムガル帝国のアクバル帝が築いた都。水不足で14年で放棄された。	27.09	77.66
redfort	レッド・フォート	インド・デリー	れっどふぉーと	Red Fort Delhi	ムガル帝国の赤い砂岩の城。独立記念日に首相が演説する場所。	28.66	77.24
kandy	キャンディ	スリランカ	きゃんでぃ	Temple of the Tooth Kandy	仏陀の歯をまつる「仏歯寺」がある古都。夏の祭りペラヘラで象の行列。	7.29	80.64
anuradhapura	アヌラーダプラ	スリランカ	あぬらーだぷら	Anuradhapura Ruwanwelisaya	スリランカ最古の都。巨大な白い仏塔と、世界最古の植樹記録がある菩提樹。	8.35	80.40
preahvihear	プレア・ヴィヒア	カンボジア	ぷれあゔぃひあ	Preah Vihear temple	崖の上に建つクメール様式の寺院。タイとの国境にあり、領有をめぐって争われた。	14.39	104.68
sukhothai	スコータイ	タイ	すこーたい	Sukhothai Wat Mahathat	タイ最初の王朝の都。「幸福の夜明け」の意味。優雅な仏像と蓮池。	17.02	99.70
malaccatown	マラッカ	マレーシア	まらっか	Malacca Christ Church	海峡貿易で栄えた港町。ポルトガル・オランダ・イギリスの支配を受け、赤い教会と広場が残る。	2.19	102.25
georgetown	ジョージタウン	マレーシア・ペナン	じょーじたうん	George Town Penang street	ペナン島の町。中国・インド・イギリスの文化が混ざる町並み。	5.42	100.34
kinabalu	キナバル山	マレーシア	きなばるさん	Mount Kinabalu	ボルネオ島の標高4095mの山。世界最大の花ラフレシアが咲く公園。	6.08	116.56
kakadu	カカドゥ国立公園	オーストラリア	かかどぅこくりつこうえん	Kakadu Ubirr rock art	アボリジニの岩絵と、湿地の野生動物。文化と自然の両方で世界遺産。	-12.85	132.85
sharkbay	シャーク湾	オーストラリア	しゃーくわん	Shark Bay stromatolites	35億年前から続く生物「ストロマトライト」が今も生きている海。ジュゴンもすむ。	-25.9	113.8
fraser	フレーザー島	オーストラリア	ふれーざーとう	Fraser Island K'gari	世界最大の砂の島。砂の上に熱帯雨林が育ち、透明な湖がある。	-25.25	153.15
tasmania	タスマニア原生地域	オーストラリア	たすまにあげんせいちいき	Tasmanian Wilderness Cradle Mountain	氷河が作った山と湖、太古の森。タスマニアデビルがすむ。	-42.0	146.0
tongariro	トンガリロ国立公園	ニュージーランド	とんがりろこくりつこうえん	Tongariro National Park volcano	マオリの聖地の火山群。世界で最初に「文化的景観」として登録された。	-39.2	175.6
mesaverde	メサ・ヴェルデ	アメリカ	めさゔぇるで	Mesa Verde Cliff Palace	断崖の岩かげに作られた先住民プエブロの住居あと。13世紀ごろのもの。	37.18	-108.49
independencehall	独立記念館	アメリカ・フィラデルフィア	どくりつきねんかん	Independence Hall Philadelphia	1776年にアメリカ独立宣言が採択された建物。	39.95	-75.15
tikal	ティカル	グアテマラ	てぃかる	Tikal Temple I	ジャングルの中のマヤ最大級の都市遺跡。高さ70mのピラミッド型神殿。	17.22	-89.62
copan	コパン	ホンジュラス	こぱん	Copan ruins stela	マヤ文明の遺跡。精巧な石碑と、文字が刻まれた「神聖文字の階段」。	14.84	-89.14
palenque	パレンケ	メキシコ	ぱれんけ	Palenque Temple of Inscriptions	ジャングルの中のマヤ遺跡。パカル王の墓が見つかった「碑文の神殿」。	17.48	-92.05
montealban	モンテ・アルバン	メキシコ	もんてあるばん	Monte Alban	山の上を平らにして作られたサポテカ文明の都市遺跡。	17.04	-96.77
puebla	プエブラ	メキシコ	ぷえぶら	Puebla cathedral	色タイルで飾られた教会と建物が並ぶ町。メキシコ料理モーレの発祥地。	19.04	-98.20
quito	キト	エクアドル	きと	Quito historic centre	標高2850mにあるエクアドルの首都。植民地時代の教会が並び、世界遺産第1号の一つ。	-0.22	-78.51
chanchan	チャン・チャン	ペルー	ちゃんちゃん	Chan Chan ruins	日干しレンガで作られたチムー王国の都。世界最大の土の都市遺跡。	-8.11	-79.08
potosi	ポトシ	ボリビア	ぽとし	Potosi Cerro Rico	銀の山「セロ・リコ」のふもとの町。16世紀に世界の銀の半分を産出した。	-19.58	-65.75
salvador	サルバドール	ブラジル	さるばどーる	Salvador Pelourinho	ブラジル最初の首都。カラフルな旧市街ペロウリーニョと、アフリカ系の文化。	-12.97	-38.51
ouropreto	オウロ・プレット	ブラジル	おうろぷれっと	Ouro Preto	18世紀の金鉱で栄えた町。「黒い金」の意味。バロックの教会が丘に並ぶ。	-20.39	-43.50
valparaiso	バルパライソ	チリ	ばるぱらいそ	Valparaiso hills	丘に色とりどりの家が並ぶ港町。古いケーブルカー(アセンソール)が坂を登る。	-33.05	-71.62
zanzibar	ザンジバル	タンザニア	ざんじばる	Stone Town Zanzibar	奴隷と香辛料の貿易で栄えた島の町「ストーン・タウン」。アラブとアフリカの文化が混ざる。	-6.16	39.19
timbuktu	トンブクトゥ	マリ	とんぶくとぅ	Timbuktu mosque	サハラ砂漠の南にある「黄金の都」。土で作られたモスクとイスラムの学問の中心。	16.77	-3.01
djenne	ジェンネ	マリ	じぇんね	Great Mosque of Djenné	世界最大の泥のモスク。毎年住民が総出で壁を塗り直す。	13.91	-4.56
fez	フェズ	モロッコ	ふぇず	Fez tanneries	迷路のような世界最大級の旧市街(メディナ)。皮なめし場の色とりどりの染料おけ。	34.06	-4.98
carthage	カルタゴ	チュニジア	かるたご	Carthage ruins	紀元前にローマと戦った古代都市のあと。地中海を見おろす遺跡。	36.85	10.32
greatzimbabwe	グレート・ジンバブエ	ジンバブエ	ぐれーとじんばぶえ	Great Zimbabwe ruins	11〜15世紀の石の都市遺跡。国の名前の由来で、国旗の鳥もここから。	-20.27	30.93
robben	ロベン島	南アフリカ	ろべんとう	Robben Island prison	ネルソン・マンデラが18年間収容された刑務所の島。負の遺産として世界遺産。	-33.81	18.37
axum	アクスム	エチオピア	あくすむ	Axum obelisk	古代アクスム王国の都。高さ24mの石のオベリスクが立つ。	14.13	38.72
kizhi	キジ島	ロシア	きじとう	Kizhi Pogost	オネガ湖の島に建つ木造教会。くぎを使わず22の玉ねぎ屋根を組み上げた。	62.07	35.22
ceskykrumlov	チェスキー・クルムロフ	チェコ	ちぇすきーくるむろふ	Český Krumlov	川が蛇行する中の中世の町。城と赤い屋根の町並みが絵本のよう。	48.81	14.32
split	スプリット	クロアチア	すぷりっと	Diocletian's Palace Split	ローマ皇帝ディオクレティアヌスの宮殿が、そのまま町になった。	43.51	16.44
kotor	コトル	モンテネグロ	ことる	Kotor bay old town	フィヨルドのような湾の奥にある城壁の町。山の上まで城壁が続く。	42.42	18.77
ohrid	オフリド	北マケドニア	おふりど	Lake Ohrid church	透明な湖のほとりの古い町。ビザンティン様式の教会が多く、自然と文化の複合遺産。	41.12	20.80
mountathos	アトス山	ギリシャ	あとすさん	Mount Athos monastery	20の修道院がある正教会の聖地。今も女性は立ち入り禁止。	40.16	24.33
bern	ベルン旧市街	スイス	べるんきゅうしがい	Bern old town	アーレ川に囲まれた中世の町。アーケードの続く通りと時計塔。スイスの首都。	46.95	7.45
bryggen	ブリッゲン	ノルウェー・ベルゲン	ぶりっげん	Bryggen Bergen	ハンザ商人の木造倉庫が港に並ぶ。カラフルな三角屋根の建物。	60.40	5.32
kronborg	クロンボー城	デンマーク	くろんぼーじょう	Kronborg Castle	シェイクスピア「ハムレット」の舞台のモデルになった海辺の城。	56.04	12.62
suomenlinna	スオメンリンナ	フィンランド	すおめんりんな	Suomenlinna fortress	ヘルシンキ沖の島に築かれた海の要塞。18世紀にスウェーデンが建てた。	60.15	24.99
thingvellir	シンクヴェトリル	アイスランド	しんくゔぇとりる	Thingvellir rift	930年に世界最古の議会が開かれた場所。大陸のプレートの裂け目が見える。	64.26	-21.13
