# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
schweitzer	シュバイツァー	ドイツ・1875〜1965	しゅばいつぁー	アルベルト・シュヴァイツァー	アフリカのガボンに病院を建て、一生をかけて人々を治療した医者。1952年にノーベル平和賞を受けた。	48.14	7.26	生命への畏敬。	すべての命を大切に思い、うやまう心。人だけでなく、動物や虫の命も同じように尊いという考え。		カイザースベルク(フランス)
parks	ローザ・パークス	アメリカ・1913〜2005	ろーざぱーくす	ローザ・パークス	バスの席を白人にゆずるのを断ってつかまり、それをきっかけに黒人差別をなくす運動が広がった。「公民権運動の母」。	32.42	-85.69	私は疲れていたのではありません。屈することに、疲れていたのです。	体が疲れて席を立たなかったのではなく、差別に従い続けることにもう耐えられなかった、という意味。		タスキーギ(アメリカ)
mendel	メンデル	オーストリア・1822〜1884	めんでる	グレゴール・ヨハン・メンデル	エンドウ豆を育てて、親から子へ特徴が伝わる決まり(遺伝の法則)を見つけた修道士。	49.84	17.72	私の時代は、きっと来る。	生きているあいだは研究が認められなかったが、いつか理解される日が来る、と信じた言葉。亡くなって16年後に本当にその日が来た。		ヒンチツェ(チェコ)
fleming	フレミング	イギリス・1881〜1955	ふれみんぐ	アレクサンダー・フレミング	世界で初めての抗生物質ペニシリンを発見し、数えきれない命を救った。カビが細菌をとかすのを偶然見つけた。	55.42	-4.55	私はペニシリンを発明したのではない。自然が作ったものを見つけただけだ。	大発見も自然の中にもともとあったもの。それに気づく目を持つことが大切だ、というけんきょな言葉。		ダーベル(イギリス)
freud	フロイト	オーストリア・1856〜1939	ふろいと	ジークムント・フロイト	人の心には自分でも気づかない「無意識」があると考えた精神科医。心の研究(精神分析)のもとを作った。	49.47	17.98	夢は、無意識への王道である。	夢を調べれば、自分でも気づいていない心の奥がわかる、という意味。		プシーボル(チェコ)
descartes	デカルト	フランス・1596〜1650	でかると	ルネ・デカルト	「近代哲学の父」。すべてを疑ったすえに、疑っている自分だけは確かだと考えた。座標(x・y)を考えた数学者でもある。	46.97	0.7	我思う、ゆえに我あり。	何もかも疑っても、疑って考えている自分がいることだけは確かだ、という意味。考えることが人間の土台だという言葉。	1	ラ・エー(フランス)
pascal	パスカル	フランス・1623〜1662	ぱすかる	ブレーズ・パスカル	「パンセ」を書いた哲学者で、計算機を作った数学者・物理学者。気圧の単位ヘクトパスカルに名前が残る。	45.78	3.08	人間は、考える葦である。	人間は葦のように弱い生き物だが、考えることができる点で偉大だ、という意味。	1	クレルモン＝フェラン(フランス)
kant	カント	ドイツ・1724〜1804	かんと	イマヌエル・カント	「純粋理性批判」を書いた哲学者。毎日同じ時間に散歩をしたので、町の人が時計代わりにしたという話がある。	54.71	20.51	わが上なる星空と、わが内なる道徳律。	見上げれば果てしない星空、心の中には正しいことをしようとする決まりがある。この二つに感動し続ける、という言葉。		ケーニヒスベルク(ロシア)
nietzsche	ニーチェ	ドイツ・1844〜1900	にーちぇ	フリードリヒ・ニーチェ	「ツァラトゥストラはこう語った」を書いた哲学者。自分の力で自分の人生の価値を作れ、と説いた。	51.24	12.12	私を殺さないものは、私を強くする。	どんなつらい経験も、それを乗りこえれば自分を強くしてくれる、という意味。		レッケン(ドイツ)
rousseau	ルソー	スイス・1712〜1778	るそー	ジャン＝ジャック・ルソー	「社会契約論」「エミール」を書いた思想家。人はみな平等だという考えは、フランス革命に大きな影響をあたえた。	46.2	6.14	人は自由なものとして生まれた。しかし、いたるところで鎖につながれている。	人は本来自由なのに、社会の決まりや身分で縛られている。それを変えよう、という「社会契約論」の書き出し。		ジュネーブ(スイス)
voltaire	ヴォルテール	フランス・1694〜1778	ゔぉるてーる	ヴォルテール	自由と寛容を説いた思想家。権力や教会を鋭く批判し、何度も牢屋に入れられた。	48.86	2.35	私はあなたの意見には反対だ。だが、あなたがそれを言う権利は命をかけて守る。	自分と考えがちがう人の意見も、言う自由は守るべきだ、という意味。後の人がヴォルテールの考えをまとめた言葉。		パリ(フランス)
machiavelli	マキャベリ	イタリア・1469〜1527	まきゃべり	ニッコロ・マキャヴェッリ	「君主論」を書いた政治思想家。理想ではなく現実を見て国を治めるべきだ、と説いた。	43.77	11.26	君主は、愛されるよりも、おそれられるほうが安全である。	国を治める人は、人気を取ろうとするより、きちんと決まりを守らせるほうが国が安定する、という現実的な考え。		フィレンツェ(イタリア)
smith	アダム・スミス	イギリス・1723〜1790	あだむすみす	アダム・スミス	「国富論」を書いた「経済学の父」。人がそれぞれ自分のために働くことが、結果として社会全体を豊かにすると考えた。	56.11	-3.16	見えざる手。	一人一人が自分の利益を考えて働くだけで、まるで見えない手に導かれるように、社会全体がうまく回る、という考え。		カーコーディ(イギリス)
jefferson	ジェファーソン	アメリカ・1743〜1826	じぇふぁーそん	トーマス・ジェファーソン	アメリカ独立宣言を書いた第3代大統領。建築や科学にもくわしく、大学も作った。	38.01	-78.39	すべての人間は、平等に造られている。	独立宣言の中の言葉。生まれや身分に関係なく、人はみな同じ権利を持つ、という考えを世界に広めた。		シャドウェル(アメリカ)
gaudi	ガウディ	スペイン・1852〜1926	がうでぃ	アントニ・ガウディ	サグラダ・ファミリアを設計した建築家。自然の形をまねた、うねるような建物を作った。	41.15	1.11	直線は人間のもの、曲線は神のもの。	人が引く線はまっすぐだが、自然の中にはまっすぐな線はない。だから自然にならって曲線で建物を作る、という考え。		レウス(スペイン)
renoir	ルノワール	フランス・1841〜1919	るのわーる	ピエール＝オーギュスト・ルノワール	明るくやわらかい色で人物を描いた印象派の画家。晩年は手が不自由になっても筆をくくりつけて描き続けた。	45.83	1.26	痛みは過ぎ去る。だが、美は残る。	苦しみはいつか消えるが、作った美しいものはずっと残る、という意味。病気の手で絵を描く理由を聞かれて答えた。		リモージュ(フランス)
cezanne	セザンヌ	フランス・1839〜1906	せざんぬ	ポール・セザンヌ	りんごや山を何度も描いた画家。ものを形として見る描き方は、ピカソたちに大きな影響をあたえ「近代絵画の父」と呼ばれる。	43.53	5.45	自然を、円筒・球・円錐として扱いなさい。	複雑に見えるものも、簡単な形の組み合わせとして見れば描ける、という意味。		エクス＝アン＝プロヴァンス(フランス)
doyle	コナン・ドイル	イギリス・1859〜1930	こなんどいる	アーサー・コナン・ドイル	名探偵シャーロック・ホームズを生み出した作家。もともとは医者だった。	55.95	-3.19	不可能なものを消していけば、残ったものが、どんなにありえなくても真実だ。	ホームズの推理の考え方。ありえないことを一つずつ消していくと、答えが見えてくる。	1	エディンバラ(イギリス)
carroll	ルイス・キャロル	イギリス・1832〜1898	るいすきゃろる	ルイス・キャロル	「不思議の国のアリス」を書いた作家。本業は大学の数学の先生だった。	53.34	-2.62	どこへ行きたいかわからなければ、どの道を行っても同じこと。	「アリス」の中でチェシャ猫が言う言葉。目的地を決めないと、どの道を選んでいいかも決まらない、という意味。		ダーズベリー(イギリス)
verne	ジュール・ヴェルヌ	フランス・1828〜1905	じゅーるゔぇるぬ	ジュール・ヴェルヌ	「海底二万里」「八十日間世界一周」を書いた「SFの父」。潜水艦や月旅行を100年以上前に物語にした。	47.22	-1.55	人が想像できることは、必ず人が実現できる。	物語の中の夢のような発明も、いつか本物になる、という意味。実際に潜水艦も月旅行も実現した。		ナント(フランス)
hawking	ホーキング	イギリス・1942〜2018	ほーきんぐ	スティーヴン・ホーキング	ブラックホールや宇宙の始まりを研究した物理学者。体が動かなくなる病気になっても、車いすで研究を続けた。	51.75	-1.26	足もとを見るのではなく、星を見上げなさい。	目の前の困ったことばかり見ないで、大きな夢や不思議に目を向けよう、という意味。	1	オックスフォード(イギリス)
chanel	ココ・シャネル	フランス・1883〜1971	ここしゃねる	ココ・シャネル	女性の服から窮屈なコルセットをなくし、動きやすいおしゃれを作ったデザイナー。孤児院で育った。	47.26	-0.08	かけがえのない人になるには、いつも人とちがっていなければならない。	人のまねをしていては代わりのきく人になってしまう。自分らしさを大切にしよう、という意味。		ソミュール(フランス)
earhart	アメリア・イアハート	アメリカ・1897〜1937	あめりあいあはーと	アメリア・イアハート	女性で初めて大西洋を一人で飛行機で横断したパイロット。世界一周の飛行中に行方不明になった。	39.56	-95.12	いちばんむずかしいのは、やろうと決めることです。あとは粘り強さだけです。	始める前が一番こわい。決めてしまえば、あとは続けるだけだ、という意味。		アッチソン(アメリカ)
sunyatsen	孫文	中国・1866〜1925	そんぶん	孫文	清をたおして中華民国を作った「中国革命の父」。日本にも長く住み、多くの日本人が協力した。	22.52	113.39	革命、いまだ成らず。	目標はまだ達成していない、あとを頼む、という遺言の言葉。大きな仕事は一代では終わらない、という意味。		中山(中国)
zhugeliang	諸葛孔明	中国・181〜234	しょかつこうめい	諸葛亮	「三国志」で知られる天才軍師。劉備に「三顧の礼」でむかえられ、蜀の国を支えた。	35.55	118.85	鞠躬尽力、死して後、已む。	力のかぎりをつくし、死ぬまでやめない、という意味。国のために働き続けた孔明の生き方を表す言葉。		陽都(中国)
sunzi	孫子	中国・前6世紀ごろ	そんし	孫武	「孫子の兵法」を書いた兵法家。戦わずに勝つのが一番だと説いた。今も経営やスポーツで読まれている。	37.0	118.5	彼を知り己を知れば、百戦あやうからず。	相手のことも自分のことも正しく知っていれば、何度戦っても負けない、という意味。準備と分析の大切さ。	1	斉(中国)
sejong	世宗大王	朝鮮・1397〜1450	せじょんだいおう	世宗 (朝鮮王)	朝鮮の4代目の王。だれでも読み書きできるように、ハングルという文字を作った。	37.57	126.98	言いたいことがあっても、文字で表せない民が多い。それをあわれに思い、新しく28の文字を作った。	ハングルを作った理由を書いた言葉。むずかしい漢字が読めない人のために、やさしい文字を作った王の思い。		ソウル(韓国)
tagore	タゴール	インド・1861〜1941	たごーる	ラビンドラナート・タゴール	アジアで初めてノーベル文学賞を受けた詩人。インドとバングラデシュの国歌も作った。	22.57	88.36	まちがいを全部しめ出してしまえば、真実までしめ出してしまう。	失敗をおそれて何も受け入れないでいると、本当に大切なことにも出会えない、という意味。		コルカタ(インド)
