# からだ。key	名前	分類	よみ	絵文字	解説	地図(front|head|cell)	x	y	Wikipedia題名	はじめのレベル(1か空)
orgperipheral	末しょう神経	脳・神経	まっしょうしんけい	⚡	脳とせきずいから体のすみずみへのびる神経。感覚神経と運動神経、自律神経からなる。	front	0.28	0.58	末梢神経系	
orgmotornerve	運動神経	脳・神経	うんどうしんけい	⚡	脳やせきずいからの命令を筋肉に伝える神経。これがはたらいて筋肉がちぢみ、体が動く。	front	0.22	0.62	運動神経	
orgsensorynerve	感覚神経	脳・神経	かんかくしんけい	⚡	目・耳・皮ふなどの感覚器が受けとった刺激を、脳やせきずいへ伝える神経。熱い・いたいなどの信号もこの神経が運ぶ。	front	0.20	0.36	感覚神経	
orgautonomic	自律神経	脳・神経	じりつしんけい	⚡	自分の意思と関係なく、心臓・胃腸・血管などを動かす神経。活動のときの交感神経と、休むときの副交感神経がある。	front	0.32	0.30	自律神経	
orgthyroid	甲状腺	ホルモン	こうじょうせん	🦋	のどぼとけの下にあるチョウの形の器官。体の代謝を活発にする甲状腺ホルモン(チロキシン)を出す。	front	0.47	0.165	甲状腺	
orgadrenal	副じん	ホルモン	ふくじん	⚡	左右のじん臓の上にのった小さな器官。びっくりしたときに出るアドレナリンなど、いくつものホルモンをつくる。	front	0.415	0.428	副腎	
sysbreathing	呼吸	しくみ	こきゅう	🫁	空気を吸って酸素をとり入れ、二酸化炭素をはき出すこと。人は1分間に約15〜20回、1日に約2万回呼吸している。	front	0.36	0.33	呼吸	1
sysoxygen	酸素	しくみ	さんそ	🫁	生きるために欠かせない気体。肺から血液にとりこまれ、赤血球が全身の細胞へ運ぶ。空気の約21%をしめる。	front	0.66	0.31	酸素	1
sysco2	二酸化炭素	しくみ	にさんかたんそ	🫁	細胞が栄養を燃やしてエネルギーを出したあとに出るガス。血液で肺へ運ばれ、はく息の中に約4%ふくまれる。	front	0.68	0.35	二酸化炭素	1
sysgasexchange	ガス交換	しくみ	がすこうかん	🫁	肺胞で酸素が血液に入り、二酸化炭素が血液から出ること。全身の細胞と血液のあいだでも同じことが起こる。	front	0.64	0.40	ガス交換	
syscilia	せん毛	しくみ	せんもう	👃	鼻や気管の内側にある細かい毛。ほこりや細菌をねばねばした液でつかまえ、波のように動いて外へおし出す。	head	0.44	0.60	繊毛	
syscough	せき	しくみ	せき	😷	気管に入ったほこりやたんを勢いよくふき飛ばして体を守る反射。せきの速さは時速100キロをこえることもある。	head	0.60	0.90	咳	
syssneeze	くしゃみ	しくみ	くしゃみ	🤧	鼻に入ったほこりや花粉を勢いよく追い出す反射。鼻の粘膜が刺激されると、脳の命令で自動的に起こる。	head	0.38	0.64	くしゃみ	
sysvocalcord	声帯	しくみ	せいたい	🎤	こうとうにある2まいのひだ。はく息でふるえて声になる。1秒に100〜300回ふるえ、女性の方が回数が多い。	head	0.58	0.95	声帯	
sysdigestion	消化	しくみ	しょうか	🍚	食べ物を体にとりこめる小さな栄養分に分解すること。口から始まり、胃、小腸へと消化液で少しずつ分解される。	front	0.44	0.50	消化	1
sysabsorption	吸収	しくみ	きゅうしゅう	🍚	消化された栄養分が、小腸のかべから血液やリンパ液の中にとりこまれること。おもに小腸のじゅう毛で行われる。	front	0.53	0.50	消化	
sysjuice	消化液	しくみ	しょうかえき	💧	食べ物を分解する液。だ液・胃液・胆汁・すい液・腸液があり、それぞれちがう消化酵素をふくむ。	front	0.38	0.37	消化液	
syssaliva	だ液	しくみ	だえき	👄	口の中に出る液。アミラーゼという酵素がデンプンを糖に変える。ごはんをかんでいると甘くなるのはこのため。	head	0.36	0.74	唾液	1
sysgastric	胃液	しくみ	いえき	🍚	胃から出る強い酸性の液。塩酸で細菌を殺し、ペプシンという酵素でタンパク質を分解する。1日に約2リットル出る。	front	0.58	0.395	胃液	
sysbile	胆汁	しくみ	たんじゅう	💧	かん臓でつくられ、胆のうにたまる黄色い液。消化酵素はないが、脂肪を細かいつぶにして消化しやすくする。	front	0.36	0.42	胆汁	
syspancjuice	すい液	しくみ	すいえき	💧	すい臓から十二指腸に出る消化液。デンプン・タンパク質・脂肪の3つすべてを分解する酵素をふくむ。	front	0.50	0.45	膵液	
sysenzyme	消化酵素	しくみ	しょうかこうそ	🔬	食べ物を分解するタンパク質のはたらき手。アミラーゼ・ペプシン・リパーゼなどがあり、決まった相手だけを分解する。	front	0.44	0.405	消化酵素	
sysamylase	アミラーゼ	しくみ	あみらーぜ	👄	だ液とすい液にふくまれる消化酵素。デンプンを麦芽糖に分解する。中学理科のヨウ素液の実験で調べる。	head	0.62	0.76	アミラーゼ	
syspepsin	ペプシン	しくみ	ぺぷしん	🍚	胃液にふくまれる消化酵素。強い酸性の中で働き、タンパク質を細かく切る。すい液のトリプシンが続きを分解する。	front	0.56	0.335	ペプシン	
syslipase	リパーゼ	しくみ	りぱーぜ	🍚	すい液にふくまれる消化酵素。脂肪を脂肪酸とモノグリセリドに分解する。胆汁が手伝うと働きやすくなる。	front	0.52	0.41	リパーゼ	
sysvilli	じゅう毛	しくみ	じゅうもう	🔬	小腸の内側のかべにある細かい突起。表面積を広げて栄養をすばやく吸収する。中に毛細血管とリンパ管が通っている。	front	0.47	0.515	腸絨毛	
sysperistalsis	ぜん動運動	しくみ	ぜんどううんどう	🍚	食道や腸のかべの筋肉が波のようにちぢんで、食べ物を先へ送る動き。この動きがあるので、ねころんでも消化は進む。	front	0.60	0.51	蠕動	
sysexcretion	排せつ	しくみ	はいせつ	💧	体の中でいらなくなったものを外へ出すこと。尿・汗・はく息などがあり、じん臓と皮ふと肺が中心になる。	front	0.40	0.55	排泄	1
sysurine	尿	しくみ	にょう	💧	じん臓が血液から不要なものをこしとった液。おもに水と尿素からできていて、大人は1日に約1.5リットル出す。	front	0.47	0.55	尿	
sysurea	尿素	しくみ	にょうそ	🔬	タンパク質を使ったあとにできる有害なアンモニアを、かん臓が害の少ない形に変えたもの。じん臓で尿として出される。	front	0.25	0.395	尿素	
sysammonia	アンモニア	しくみ	あんもにあ	🔬	タンパク質が分解されるときに細胞でできる有害な物質。すぐにかん臓へ運ばれ、尿素につくり変えられる。	front	0.23	0.50	アンモニア	
sysblood	血液	血液	けつえき	🩸	体中をめぐる赤い液体。酸素や栄養を運び、いらないものを回収し、体を守る。大人の体には約4〜5リットルある。	front	0.82	0.66	血液	1
syscirculation	血液循環	血液	けつえきじゅんかん	❤️	心臓のポンプで血液が体をめぐること。心臓→全身→心臓の体循環と、心臓→肺→心臓の肺循環の2つの道がある。	front	0.70	0.58	循環器	1
syspulmonary	肺循環	血液	はいじゅんかん	🫁	右心室から肺へ行き、酸素をもらって左心房にもどる血液の道。ここだけは動脈に酸素の少ない血液が流れる。	front	0.53	0.315	肺循環	
syssystemic	体循環	血液	たいじゅんかん	❤️	左心室から大動脈を通って全身をめぐり、右心房にもどる血液の道。約1分で体を一周する。	front	0.79	0.62	体循環	
sysredcell	赤血球	血液	せっけっきゅう	🩸	血液の赤い色のもと。ヘモグロビンで酸素を運ぶ。まん中がへこんだ円ばんの形で、血液1立方ミリに約500万個。	front	0.90	0.56	赤血球	1
syswhitecell	白血球	血液	はっけっきゅう	🩸	体に入った細菌やウイルスをやっつける血液の細胞。いくつも種類があり、赤血球より大きいが数は少ない。	front	0.92	0.62	白血球	1
sysplatelet	血小板	血液	けっしょうばん	🩸	血液の中の小さなかけら。けがをして血が出ると集まって固まり、血を止める。かさぶたのもとになる。	front	0.92	0.68	血小板	1
sysplasma	血しょう	血液	けっしょう	🩸	血液の液体の部分。約90%が水で、栄養分・二酸化炭素・いらないもの・ホルモンをとかして運ぶ。	front	0.94	0.50	血漿	
syshemoglobin	ヘモグロビン	血液	へもぐろびん	🩸	赤血球にふくまれる鉄を持った赤い色素。酸素が多い所で酸素とくっつき、少ない所ではなす性質がある。	front	0.96	0.58	ヘモグロビン	
syspulse	脈はく	血液	みゃくはく	❤️	心臓のはく動が動脈に伝わってできる波。手首や首で数えられ、1分間の回数は心臓のはく動と同じになる。	front	0.87	0.47	脈拍	
sysbloodpressure	血圧	血液	けつあつ	🩺	血液が血管のかべをおす力。心臓がちぢんだときが最高血圧、ゆるんだときが最低血圧。高すぎると血管がいたむ。	front	0.90	0.42	血圧	
sysheartbeat	はく動	血液	はくどう	❤️	心臓が規則正しくちぢんだりゆるんだりする動き。子どもは1分に約80〜90回、運動すると速くなる。	front	0.41	0.275	心拍	1
systissuefluid	組織液	血液	そしきえき	💧	毛細血管からしみ出て細胞のまわりを満たす液。細胞に酸素と栄養をわたし、いらないものを受けとる。	front	0.76	0.66	組織液	
syslymph	リンパ液	血液	りんぱえき	💧	組織液がリンパ管に入ったもの。脂肪の運搬と免疫にかかわり、リンパ節を通って最後は静脈にもどる。	front	0.73	0.69	リンパ	
sysimmunity	免疫	しくみ	めんえき	🛡️	体に入った細菌やウイルスをやっつけ、病気から体を守るしくみ。一度かかった病気にかかりにくくなるのもこの働き。	front	0.20	0.72	免疫	
sysantibody	抗体	しくみ	こうたい	🛡️	体に入った敵(抗原)にぴったりくっついて無力にするタンパク質。リンパ球のB細胞がつくり、敵ごとに形がちがう。	front	0.24	0.78	抗体	
sysantigen	抗原	しくみ	こうげん	🦠	免疫が「敵」と見分けて攻撃する目じるし。細菌やウイルスの表面の物質などで、抗体はこれに合わせてつくられる。	front	0.18	0.80	抗原	
syslymphocyte	リンパ球	血液	りんぱきゅう	🔬	白血球の一種。抗体をつくるB細胞と、感染した細胞をこわしたり指令を出したりするT細胞がある。	front	0.26	0.86	リンパ球	
sysmacrophage	マクロファージ	血液	まくろふぁーじ	🔬	白血球の一種で、細菌や死んだ細胞を丸ごと食べてしまう大食細胞。食べた敵の特徴をリンパ球に知らせる。	front	0.20	0.88	マクロファージ	
sysvaccine	ワクチン	しくみ	わくちん	💉	弱くしたり、こわしたりした病原体などからつくる薬。先に体におぼえさせて、本物にかかりにくくする。	front	0.30	0.80	ワクチン	
sysvaccination	予防接種	しくみ	よぼうせっしゅ	💉	病気にかかる前にワクチンを注射して免疫をつけること。はしか・おたふくかぜ・インフルエンザなどを防ぐ。	front	0.32	0.88	予防接種	
sysvirus	ウイルス	しくみ	ういるす	🦠	細菌よりずっと小さく、自分だけではふえられない病原体。人の細胞に入りこんでふえる。かぜやインフルエンザの原因。	front	0.12	0.74	ウイルス	1
sysbacteria	細菌	しくみ	さいきん	🦠	1つの細胞でできた小さな生き物。食中毒や虫歯を起こすものもあれば、ヨーグルトの乳酸菌のように役に立つものもいる。	front	0.12	0.68	細菌	1
syscold	かぜ	しくみ	かぜ	🤒	鼻やのどにウイルスが入って起こる病気。せき・鼻水・熱が出る。手洗い・うがい・十分なすいみんで予防する。	head	0.34	0.92	風邪	1
sysflu	インフルエンザ	しくみ	いんふるえんざ	🤒	インフルエンザウイルスによる病気。急に高い熱が出て、体のふしぶしがいたむ。冬に流行し、予防接種がある。	head	0.24	0.86	インフルエンザ	
sysallergy	アレルギー	しくみ	あれるぎー	🤧	本当は害のない花粉や食べ物に、免疫がはげしく反応してしまうこと。くしゃみ・かゆみ・ぜんそくなどが起こる。	front	0.12	0.86	アレルギー	
syshayfever	花粉症	しくみ	かふんしょう	🤧	スギやヒノキなどの花粉に対するアレルギー。くしゃみ・鼻水・目のかゆみが出る。日本人の約4割がかかっている。	head	0.26	0.60	花粉症	
systemperature	体温	しくみ	たいおん	🌡️	体の温度。人はいつも約36〜37度にたもたれていて、朝は低く夕方は高い。これを体温調節という。	front	0.66	0.17	体温	1
sysfever	発熱	しくみ	はつねつ	🤒	病気のときに体温が上がること。ウイルスや細菌がふえにくくし、免疫を働かせるための体の作戦でもある。	front	0.72	0.16	発熱	
syssweat	汗	しくみ	あせ	💦	皮ふの汗せんから出る液。蒸発するときに体から熱をうばって体温を下げる。暑い日や運動のとき、1時間に1リットル出ることも。	front	0.80	0.80	汗	1
syshomeostasis	恒常性	しくみ	こうじょうせい	⚖️	体温・血糖値・水分などを、まわりが変わってもいつも同じにたもつ働き。ホメオスタシスともいい、神経とホルモンが行う。	front	0.78	0.72	恒常性	
systhermo	体温調節	しくみ	たいおんちょうせつ	🌡️	暑いときは汗をかき血管を広げて熱をにがし、寒いときはふるえて熱を出し体温を一定に保つしくみ。司令塔は視床下部。	front	0.74	0.78	体温調節	
syshormone	ホルモン	ホルモン	ほるもん	💊	体の中の特定の器官でつくられ、血液で運ばれて体の働きを調節する物質。ごく少ない量でも大きく働く。	front	0.28	0.18	ホルモン	
sysendocrine	内分泌	ホルモン	ないぶんぴつ	💊	ホルモンを血液の中に直接出すこと。脳下垂体・甲状腺・副じん・すい臓などが内分泌の器官。	front	0.22	0.20	内分泌器	
sysinsulin	インスリン	ホルモン	いんすりん	💊	すい臓のランゲルハンス島から出る、血糖値を下げるただひとつのホルモン。足りなくなる病気が糖尿病。	front	0.56	0.475	インスリン	
syslangerhans	ランゲルハンス島	ホルモン	らんげるはんすとう	🔬	すい臓の中に島のように散らばる細胞の集まり。インスリンやグルカゴンをつくる。発見者の名前がついている。	front	0.57	0.44	ランゲルハンス島	
sysadrenaline	アドレナリン	ホルモン	あどれなりん	⚡	副じんから出るホルモン。びっくりしたり、きんちょうしたりすると出て、心臓を速く動かし血糖値を上げ、体を戦う状態にする。	front	0.30	0.485	アドレナリン	
systhyroxine	チロキシン	ホルモン	ちろきしん	🦋	甲状腺から出るホルモン。細胞の代謝を活発にし、体温や成長にかかわる。ヨウ素からつくられる。	front	0.40	0.165	チロキシン	
sysgrowthhormone	成長ホルモン	ホルモン	せいちょうほるもん	📏	脳下垂体から出て、骨や筋肉の成長をうながすホルモン。ねむっているあいだに多く出るので、すいみんは大切。	head	0.36	0.30	成長ホルモン	
sysglucagon	グルカゴン	ホルモン	ぐるかごん	💊	すい臓から出る、血糖値を上げるホルモン。かん臓にたくわえたグリコーゲンを分解してブドウ糖にする。インスリンと反対の働き。	front	0.52	0.375	グルカゴン	
sysbloodsugar	血糖値	ホルモン	けっとうち	🩸	血液の中のブドウ糖の量。食後に上がり、インスリンで下がる。ずっと高いままになる病気が糖尿病。	front	0.64	0.49	血糖値	
syssexhormone	性ホルモン	ホルモン	せいほるもん	💊	卵巣や精巣から出るホルモン。思春期になると多くなり、体つきを大人に変えていく。女性ホルモンと男性ホルモンがある。	front	0.66	0.62	性ホルモン	
syspuberty	思春期	しくみ	ししゅんき	🌱	10歳ごろから始まる、体が子どもから大人に変わる時期。性ホルモンの働きで、体つきや声が変わり、心も大きく成長する。	front	0.58	0.665	思春期	
syscns	中枢神経	脳・神経	ちゅうすうしんけい	🧠	脳とせきずいのこと。全身から集まる情報を判断し、命令を出す中心。ここから出る末しょう神経と対になる。	head	0.28	0.28	中枢神経系	
sysreflex	反射	脳・神経	はんしゃ	⚡	刺激に対して、意思とは関係なく自動的に起こる反応。熱いものにふれて手を引く反応は、脳を通らずせきずいで起こる。	front	0.12	0.46	反射	1
syskneejerk	しつがいけん反射	脳・神経	しつがいけんはんしゃ	🦵	ひざの皿の下を軽くたたくと、足が勝手にはね上がる反射。せきずいが中心で、神経の検査に使われる。	front	0.46	0.755	膝蓋腱反射	
sysconditioned	条件反射	脳・神経	じょうけんはんしゃ	🔔	経験で身につく反射。パブロフの犬のように、ベルの音だけでだ液が出るようになる。梅干しを見てつばが出るのも同じ。	front	0.14	0.40	条件反射	
sysstimulus	刺激	脳・神経	しげき	⚡	光・音・におい・温度・いたみなど、体が感じるもの。目や耳などの感覚器が受けとり、神経で脳に伝わる。	front	0.10	0.50	刺激	
syssensation	感覚	脳・神経	かんかく	👁️	視覚・聴覚・きゅう覚・味覚・触覚の五感など、刺激を感じること。感覚器が受けとり、脳が「見えた」「聞こえた」と感じる。	head	0.20	0.44	感覚	
syssynapse	シナプス	脳・神経	しなぷす	⚡	神経細胞と神経細胞のつなぎ目。わずかなすき間があり、神経伝達物質という化学物質で信号を次に伝える。	head	0.60	0.20	シナプス	
syssleep	すいみん	しくみ	すいみん	😴	脳と体を休ませる時間。ねむっている間に成長ホルモンが出て、記憶が整理される。小学生は9〜11時間がめやす。	head	0.14	0.30	睡眠	1
syscircadian	体内時計	しくみ	たいないどけい	⏰	約24時間のリズムを体に刻むしくみ。朝の光でリセットされ、夜になるとねむくなる。時差ぼけはこれがずれること。	head	0.86	0.28	概日リズム	
sysnutrient	栄養素	栄養	えいようそ	🍱	食べ物にふくまれ、体をつくり、動かすもとになる成分。炭水化物・脂質・タンパク質・ビタミン・無機質の5大栄養素。	front	0.08	0.22	栄養素	1
syscarb	炭水化物	栄養	たんすいかぶつ	🍚	ごはん・パン・めんなどに多く、体を動かすエネルギーのもと。デンプンは消化されてブドウ糖になる。1グラムで4キロカロリー。	front	0.06	0.28	炭水化物	1
sysprotein	たんぱく質	栄養	たんぱくしつ	🥩	肉・魚・卵・大豆に多く、筋肉・血液・皮ふなど体をつくるもとになる栄養素。消化されてアミノ酸になる。	front	0.12	0.30	タンパク質	1
sysfat	脂質	栄養	ししつ	🧈	バターや油に多く、体を動かすエネルギーのもと。1グラムで9キロカロリーと、いちばんエネルギーが大きい。	front	0.06	0.34	脂質	1
sysvitamin	ビタミン	栄養	びたみん	🥦	体の調子をととのえる栄養素。体の中でほとんどつくれないので、野菜やくだものからとる。13種類ある。	front	0.12	0.36	ビタミン	1
sysmineral	無機質	栄養	むきしつ	🧂	カルシウムや鉄などの栄養素。ミネラルともいい、骨や血液をつくり、体の調子をととのえる。	front	0.06	0.40	ミネラル	1
sysfiber	食物せんい	栄養	しょくもつせんい	🥬	野菜・海そう・きのこに多い、人が消化できない成分。腸のそうじをして便通をよくし、第6の栄養素ともよばれる。	front	0.05	0.46	食物繊維	
syscalcium	カルシウム	栄養	かるしうむ	🥛	骨と歯をつくる無機質。牛乳・小魚・小松菜に多い。体の中のカルシウムの99%は骨と歯にある。	front	0.05	0.52	カルシウム	1
sysiron	鉄分	栄養	てつぶん	🍖	赤血球のヘモグロビンをつくる無機質。レバーやほうれん草に多く、足りないと貧血になる。	front	0.06	0.58	鉄	
sysglucose	ブドウ糖	栄養	ぶどうとう	🍬	デンプンが消化されてできる、いちばん基本の糖。血液で全身に運ばれ、細胞のエネルギーになる。脳のおもな燃料。	front	0.10	0.56	グルコース	
sysvitc	ビタミンC	栄養	びたみんしー	🍋	くだものや野菜に多く、皮ふや血管をじょうぶにして、かぜをひきにくくする。昔の船乗りが足りずに病気になった。	front	0.05	0.64	ビタミンC	
sysvitd	ビタミンD	栄養	びたみんでぃー	☀️	カルシウムの吸収を助けて骨をじょうぶにする。魚やきのこに多く、日光に当たると皮ふでもつくられる。	front	0.05	0.70	ビタミンD	
syswater	水分	栄養	すいぶん	💧	体の約60%は水。栄養を運び、体温を調節し、いらないものを出すのに欠かせない。1日に約2.5リットル出入りする。	front	0.04	0.76	水	1
sysenergy	エネルギー	栄養	えねるぎー	🔥	体を動かし、体温をたもつ力。栄養素から細胞がとり出す。単位はキロカロリーで、小学生は1日約2000キロカロリー。	front	0.12	0.18	エネルギー	
sysmetabolism	代謝	しくみ	たいしゃ	🔥	体の中で栄養を分解してエネルギーをとり出したり、体をつくる物質を合成したりする化学反応のすべて。	front	0.16	0.24	代謝	
sysgrowth	成長	しくみ	せいちょう	🌱	体が大きくなり、できることがふえていくこと。骨がのびて身長が高くなり、脳も発達する。栄養・運動・すいみんが大切。	front	0.30	0.74	成長	1
sysfracture	骨折	しくみ	こっせつ	🩹	骨が折れたりひびが入ったりするけが。骨膜のはたらきで新しい骨ができて、子どもなら数週間でくっつく。	front	0.44	0.885	骨折	1
syssprain	ねんざ	しくみ	ねんざ	🩹	関節をひねって、じん帯がのびたり切れたりするけが。足首に多い。冷やして、安静にすることが大切。	front	0.50	0.905	捻挫	1
sysstrain	肉ばなれ	しくみ	にくばなれ	🩹	急な動きで筋肉の一部が切れるけが。ダッシュやジャンプのとき、太もものうしろやふくらはぎに起こりやすい。	front	0.70	0.86	肉離れ	
syscavity	虫歯	しくみ	むしば	🦷	口の中の細菌が糖から酸をつくり、歯をとかす病気。かたい歯も酸には弱い。歯みがきで細菌のかたまり(歯こう)をとる。	head	0.58	0.66	う蝕	1
sysheatstroke	熱中症	しくみ	ねっちゅうしょう	🥵	暑さで体温調節がうまくいかなくなり、体に熱がこもる病気。めまい・頭痛・けいれんが起こる。水分と塩分、休けいで防ぐ。	front	0.78	0.10	熱中症	1
sysdehydration	脱水	しくみ	だっすい	💧	体の水分が足りなくなること。体重の2%の水分が減るとのどがかわき、運動能力も落ちる。のどがかわく前に飲む。	front	0.84	0.16	脱水症	
sysscab	かさぶた	しくみ	かさぶた	🩹	けがをしたとき、血小板と血液の成分が固まってできるふた。下で新しい皮ふができるまで傷を守る。はがさないこと。	front	0.90	0.76	痂皮	1
celcell	細胞	細胞	さいぼう	🔬	生き物の体をつくる最小の単位。人の体は約37兆個の細胞でできている。核・細胞質・細胞膜からなる。	cell	0.50	0.10	細胞	1
celnucleus	核	細胞	かく	🔬	細胞のまん中にある丸い部分。中に遺伝子(DNA)が入っていて、細胞の設計図として働く。酢酸カーミンで赤く染まる。	cell	0.50	0.50	細胞核	1
celmembrane	細胞膜	細胞	さいぼうまく	🔬	細胞の外側をつつむうすい膜。必要なものだけを通し、いらないものを外に出す。細胞の中と外を分ける。	cell	0.90	0.50	細胞膜	1
celcytoplasm	細胞質	細胞	さいぼうしつ	🔬	細胞の中の核以外の部分。ミトコンドリアなどの小さな器官がういていて、生きるための化学反応が起こる。	cell	0.62	0.42	細胞質	
celmitochondria	ミトコンドリア	細胞	みとこんどりあ	🔋	細胞の発電所。酸素を使ってブドウ糖を分解し、ATPというエネルギーをつくる。1つの細胞に数百〜数千個。	cell	0.30	0.30	ミトコンドリア	
celvacuole	液胞	細胞	えきほう	🔬	細胞の中の液体がたまったふくろ。植物の細胞で大きく発達し、水分や不要物をためる。動物の細胞では小さい。	cell	0.70	0.70	液胞	
celchloroplast	葉緑体	細胞	ようりょくたい	🌿	植物の細胞にあって光合成をする緑色のつぶ。動物の細胞にはない。「動物の細胞にないもの」としてよく問われる。	cell	0.22	0.60	葉緑体	
celcellwall	細胞壁	細胞	さいぼうへき	🌿	植物の細胞膜の外側にあるかたいかべ。植物の体をささえる。動物の細胞にはなく、細胞膜だけでできている。	cell	0.92	0.36	細胞壁	
celribosome	リボソーム	細胞	りぼそーむ	🔬	細胞の中でタンパク質をつくる小さなつぶ。DNAの情報を写したRNAを読みとり、アミノ酸をつなげる。	cell	0.40	0.68	リボソーム	
celer	小胞体	細胞	しょうほうたい	🔬	核のまわりにある膜がひだになった器官。つくられたタンパク質を運んだり、脂質をつくったりする。	cell	0.34	0.44	小胞体	
celgolgi	ゴルジ体	細胞	ごるじたい	🔬	平たいふくろが重なった器官。タンパク質を仕上げて、細胞の外へ送り出す。発見者ゴルジの名前がついている。	cell	0.66	0.58	ゴルジ体	
celcentrosome	中心体	細胞	ちゅうしんたい	🔬	動物の細胞の核のそばにある小さな器官。細胞分裂のとき、染色体を両側に引っぱる糸の出発点になる。	cell	0.66	0.30	中心体	
celnuclearmembrane	核膜	細胞	かくまく	🔬	核をつつむ二重の膜。小さな穴があいていて、RNAなどが出入りする。細胞分裂のときは一度消える。	cell	0.56	0.44	核膜	
celnucleolus	核小体	細胞	かくしょうたい	🔬	核の中にあるさらに小さな丸い部分。リボソームの部品をつくっている。顕微鏡では核の中のこい点に見える。	cell	0.46	0.56	核小体	
celchromosome	染色体	遺伝	せんしょくたい	🧬	細胞分裂のときに核の中に現れるひものようなもの。DNAが折りたたまれてできていて、人は46本(23対)持つ。	cell	0.42	0.48	染色体	
celdna	DNA	遺伝	でぃーえぬえー	🧬	遺伝子の本体で、生き物の設計図。4種類の塩基の並びで情報を記録し、二重らせんの形をしている。人の全長は約2メートル。	cell	0.50	0.62	デオキシリボ核酸	1
celgene	遺伝子	遺伝	いでんし	🧬	DNAの中で、目の色や血液型など一つひとつの特徴を決めている部分。人にはおよそ2万個ある。	cell	0.56	0.68	遺伝子	
celheredity	遺伝	遺伝	いでん	👨‍👩‍👧	親の特徴が子に伝わること。染色体にのった遺伝子が、卵と精子を通して半分ずつ子に受けつがれる。	cell	0.50	0.90	遺伝	1
celbase	塩基	遺伝	えんき	🧬	DNAの情報を記録する4種類の部品。アデニン・チミン・グアニン・シトシンで、AとT、GとCがペアになる。	cell	0.40	0.78	核酸塩基	
celhelix	二重らせん	遺伝	にじゅうらせん	🧬	DNAの形。2本のひもがねじれたはしごのようになっている。1953年にワトソンとクリックが発見した。	cell	0.60	0.80	二重らせん	
celbasepair	塩基対	遺伝	えんきつい	🧬	DNAの2本のひもをつなぐ塩基のペア。AはTと、GはCと決まった相手だけと結びつく。人のDNAは約30億対。	cell	0.30	0.84	塩基対	
celrna	RNA	遺伝	あーるえぬえー	🧬	DNAの情報を写しとって、タンパク質づくりの現場へ運ぶ物質。DNAとちがい1本のひもで、TのかわりにUを使う。	cell	0.72	0.84	リボ核酸	
celmitosis	体細胞分裂	細胞	たいさいぼうぶんれつ	🔬	体の細胞が2つに分かれてふえること。染色体を2倍にしてから分けるので、できた細胞は元とまったく同じ数の染色体を持つ。	cell	0.18	0.20	体細胞分裂	
celmeiosis	減数分裂	細胞	げんすうぶんれつ	🔬	卵や精子をつくる特別な分裂。染色体の数が半分(人は23本)になる。受精でもとの46本にもどる。	cell	0.18	0.36	減数分裂	
celgamete	生殖細胞	細胞	せいしょくさいぼう	🔬	子をつくるための細胞で、卵と精子のこと。減数分裂でできるので、染色体は体の細胞の半分。	cell	0.16	0.50	配偶子	
celfertilization	受精	遺伝	じゅせい	🥚	卵と精子が合体すること。染色体が23本ずつ持ちよられ、46本の受精卵になる。人では卵管で起こる。	cell	0.16	0.72	受精	
celzygote	受精卵	遺伝	じゅせいらん	🥚	受精してできた最初の1個の細胞。分裂をくり返して細胞がふえ、約38週で赤ちゃんになる。	cell	0.24	0.74	受精卵	
celovum	卵	細胞	らん	🥚	女性の卵巣でつくられる生殖細胞(卵子)。人の細胞でいちばん大きく、直径約0.1ミリで目でぎりぎり見える。	cell	0.14	0.86	卵子	
celsperm	精子	細胞	せいし	🔬	男性の精巣でつくられる生殖細胞。長いしっぽで泳ぎ、卵にたどりつく。長さは約0.06ミリ。	cell	0.22	0.92	精子	
celsexual	有性生殖	遺伝	ゆうせいせいしょく	👨‍👩‍👧	卵と精子のような2つの生殖細胞が受精して子ができるふえ方。親と少しちがう子が生まれ、多様性が生まれる。	cell	0.82	0.14	有性生殖	
celasexual	無性生殖	遺伝	むせいせいしょく	🌱	受精をせず、体の一部が分かれたり分裂したりしてふえること。親とまったく同じ遺伝子の子(クローン)ができる。	cell	0.82	0.22	無性生殖	
celclone	クローン	遺伝	くろーん	🐑	まったく同じ遺伝子を持つ生き物。さし木の植物や一卵性のふたごも自然のクローン。1996年に羊のドリーが生まれた。	cell	0.70	0.12	クローン	
celallele	対立形質	遺伝	たいりつけいしつ	🌱	エンドウの種の「丸」と「しわ」のように、同時には現れない対になった形質。片方だけが現れる。	cell	0.84	0.62	対立遺伝子	
celdominant	顕性	遺伝	けんせい	🌱	対立形質のうち、両方の遺伝子を持つときに現れる方の形質。以前は優性とよばれた。エンドウの丸い種がこれ。	cell	0.84	0.72	優性	
celrecessive	潜性	遺伝	せんせい	🌱	対立形質のうち、両方の遺伝子を持つときにかくれる方の形質。以前は劣性とよばれた。エンドウのしわの種がこれ。	cell	0.84	0.80	劣性	
celmendel	メンデル	遺伝	めんでる	🌱	エンドウを使って遺伝の法則を発見した修道士。1865年に発表したが、認められたのは死後の1900年だった。	cell	0.84	0.90	グレゴール・ヨハン・メンデル	
