# 世界史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
evcuba	キューバ危機	1962年・キューバ	きゅーばきき	🛡️	ソ連がキューバにミサイル基地を造ろうとし、アメリカと一触即発に。核戦争の危機を 13日間の交渉で回避した。	23.124	-82.387	ハバナ 革命広場	
evvietnam	ベトナム戦争	1965〜1975年・ベトナム	べとなむせんそう	⚔️	南北に分かれたベトナムの内戦に アメリカが本格的に介入した。反戦運動が世界に広がり、アメリカは撤退。北ベトナムが統一した。	10.777	106.695	ホーチミン 統一会堂	1
evculturalrev	文化大革命	1966〜1976年・中国	ぶんかだいかくめい	✊	毛沢東が主導した政治運動。「紅衛兵」の若者たちが 古い文化や知識人を攻撃し、中国は10年にわたって大きく混乱した。	39.913	116.391	故宮 北京	
evoil	石油危機	1973年・中東	せきゆきき	💰	第四次中東戦争をきっかけに アラブの産油国が石油の値段を大きく上げた。世界経済が大打撃を受け、日本ではトイレットペーパー騒動が起きた。	48.209	16.362	OPEC本部 ウィーン	
eviran	イラン革命	1979年・イラン	いらんかくめい	✊	国王の近代化政策に反対する人びとが ホメイニ師のもとで立ち上がり、王政を倒してイスラム共和国をつくった。第二次石油危機の原因にもなった。	35.700	51.338	テヘラン 自由の塔	
evberlinwall	ベルリンの壁崩壊	1989年・ドイツ	べるりんのかべほうかい	🧱	東西ベルリンを28年間へだてていた壁が、東ドイツの民主化運動の中で開放された。冷戦の終わりを世界に印象づけた出来事。	52.535	13.390	ベルリンの壁記念碑	1
evmalta	マルタ会談	1989年・マルタ	まるたかいだん	🕊️	アメリカのブッシュ大統領と ソ連のゴルバチョフ書記長が 地中海のマルタ島で会い、冷戦の終わりを宣言した。	35.842	14.544	マルサシュロック マルタ	
evgermanunity	東西ドイツの統一	1990年・ドイツ	とうざいどいつのとういつ	🧱	ベルリンの壁崩壊の翌年、東ドイツが西ドイツに加わる形で 45年ぶりにドイツがひとつになった。首都はベルリンにもどった。	52.516	13.378	ベルリン ブランデンブルク門	
evussrend	ソ連の解体	1991年・ロシア	それんのかいたい	🏛️	ゴルバチョフの改革(ペレストロイカ)のあと 各共和国が独立し、ソビエト連邦は消滅した。ロシアなど15の国に分かれた。	55.754	37.620	モスクワ 赤の広場	1
eveu	ヨーロッパ連合の発足	1993年・ヨーロッパ	よーろっぱれんごうのほっそく	🌍	マーストリヒト条約により ヨーロッパ連合(EU)が発足。国境をこえて人やモノが自由に動き、共通の通貨ユーロも生まれた。	50.849	5.688	マーストリヒト オランダ	
ev911	アメリカ同時多発テロ	2001年・アメリカ	あめりかどうじたはつてろ	🗽	ハイジャックされた飛行機が ニューヨークの世界貿易センタービルなどに突入し、約3000人が犠牲になった。世界の安全観を大きく変えた。	40.711	-74.013	ニューヨーク 9.11メモリアル	
